순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명),책소개,목차
1,만화,체인소 맨 21,376840323,9791141173500,7650,후지모토 타츠키 저자,학산문화사(만화),20251125,6000,5400,300점,40970,만화,,
2,만화,요츠바랑! 16,375613947,9791142332876,7830,아즈마 키요히코 지음,대원씨아이(만화),20251031,8000,7200,400점,38145,만화,"책소개
4년 만에 돌아온 요츠바의 귀여운 일상!

조금씩 성장하는 아이와, 변함없는 어른들.
하루하루 즐거운 기억을 혹은 추억을 만들어가는 요츠바의 일상!

계절은 어느덧 가을을 넘어 겨울을 향해 가고, 크리스마스를 준비하는 요츠바!
아빠와 얀다랑 함께 가을 산을 오르고, 학교에 가서 거꾸로오르기 철봉 연습을 하고!
하루하루 즐거운 일로 가득 채워가면서 서서히 쫌! 언니가 되어가는 요츠바의 일상을 만나보자.

올해 가을에도 요츠바와 함께!
16권에는 깜짝 선물처럼 등장하는 그! 사!람!도 등장!
46페이지의 가필 분량에 더해 총 256페이지의 볼륨으로 보내드리는 4년 만의 신간!","목차
제105화 요츠바랑! 크리스마스트리
제106화 요츠바랑! 식당
제107화 요츠바랑! 사이좋게
제108화 요츠바랑! 다카오산
제109화 요츠바랑! 산이랑 시냇물
제110화 요츠바랑! 산꼭대기
제111화 요츠바랑! 취미
제112화 요츠바랑! 선생님"
3,만화,내가 키운 S급들 1~2 + 굿즈 패키지 세트,377264017,9791139657494,4810,"비완 지음, 근서 원작, seri 각색",JAYPLEMEDIA,20251222,29600,26640,"1,480점",25780,만화,,
4,만화,원피스 112,374587018,9791142319723,7830,오다 에이치로 지음,대원씨아이(만화),20251031,6000,5400,300점,52465,만화,"책소개
밝혀지는 신화──!!
신전이 가리키는 '도래할 세계'란?!

염원하던 엘바프에 상륙하고 로빈은 사우로와 고대하던 재회를 이룬다.
그리고 미지의 비경에서 새로운 모험에 시동을 거는데,
그런 한편 꺼림칙한 분위기의 침입자가 출현하여 폭풍의 예감이?!
'원피스'를 둘러싼 해양 모험 로망!!",
5,만화,그 비스크 돌은 사랑을 한다 15,376257892,9791138488044,7830,"후쿠다 신이치 지음, 박연지 옮김",㈜소미미디어,20251106,6000,5400,300점,18170,만화,"책소개
TV 애니메이션 방영작!!
메가히트 코스프레 러브 코미디!!
대망의 완결권 발매!!

키타가와 마린과 고죠 와카나, 두 사람의 관계는…
마침내 사귀게 된 마린과 와카나.
와카나 생일에 만나서는 어느 행동을 둘러싸고 말다툼을 벌이는데…?!
더구나 두 사람은 추억이 깃든 그곳에 가서….
코스프레 학교생활이 마침내 완결!!
단편도 듬뿍 담은 제15권!!","목차
제110화
제111화
제112화
제113화
제114화
제115화
번외편
에필로그
스타게이저
보너스"
6,만화,사카모토 데이즈 23 (더블 특전판),374877746,9791142333699,7830,스즈키 유우토 지음,대원씨아이(만화),20251031,6500,5850,320점,50665,만화,"책소개
일상×비일상 솔리드 코미디 킬러 액션- 재생의 제23권!!

멈추지 않고 거머쥔 지금…
돌이켜 본 과거, 직시하는 미래.",
7,만화,도쿄 에일리언즈 11,377708272,9791142813184,47830,"NAOE 지음, 박소현 옮김",서울미디어코믹스(서울문화사),20251117,6000,5400,300점,31640,만화,"책소개
성가신 인간은 제거한다――.
아마미야, 당신의 특기잖아요.

우주인용 불법 약물을 거래하는 현장을 우연히 목격한 군지와 텐쿠바시.
우주인들 사이의 거래인 줄 알았는데, 판매인은 AMO와 제3특별 기동대의 존재를 인식한 상태에서 군지와 텐쿠바시에게 공격을 가한다.
압도적 전투력을 가진 그 남자는 낮에는 꽃 가게에서 일하고,
「나루세」라고 불리는 수수께끼에 싸인 존재인데…?!
그 외, 기적의 일상 편 「트럼프 게임」 편도 수록한, 세상을 뒤흔들 에일리언 코믹 제11권!!

도쿄를 무대로 펼쳐지는
지구인 × 우주인의 교류를 그린
스페이스 액션!!",
8,만화,극락가 5 (더블특전판),378762449,9791142335211,7830,사노 유토 지음,대원씨아이(만화),20251128,6500,5850,320점,38870,만화,"책소개
사건 현장인 대저택에
새로운 마가의 덫이 덮쳐온다!

일그러진 사랑의 칼날을 휘두르는 우츠로와 격한 공방을 펼치는 알마.
그리고 어떤 의문사에 대한 해명 의뢰를 받고 저택으로 향한 타오와 알마는 새로운 마가와 대면하는데….",
9,만화,사카모토 홀리데이즈 2,378353900,9791142336812,7830,"오오카와 테츠 지음, 스즈키 유우토 원작",대원씨아이(만화),20251128,6500,5850,320점,28700,만화,"책소개
이코라이자카 상점가의 평화를 지키기 위해 뒷골목으로 정찰을 나간 사카모토와 신.
그곳에서 두 사람은 상점가의 영업을 방해하도록 사주하고 있던 카시마와 맞닥뜨리는데―― ?!
뒷골목 세력에 맞서기 위해, 사카모토 일행은 '강력한 동료를 스카우트 하라'는 새로운 미션에 도전한다――!",
10,만화,카구라바치 8 (더블특전판),378051111,9791142335501,7830,호카조노 타케루 지음,대원씨아이(만화),20251128,6500,5850,320점,26710,만화,,
