순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명),책소개,목차
1,어린이,나나 올리브에게,377892566,9791141614072,73810,루리 지음,문학동네,20251120,15000,13500,750점,80210,어린이,"책소개
MD 한마디
기억과 약속이 머무는 그곳으로
<긴긴밤> 루리 작가 신작. ‘올리브나무 집’과 그곳을 함께한 이들의 이야기를 담은 동화. 오래된 편지와 기억을 따라가며 상처 난 삶이 다시 이어지고 회복되는 과정을 섬세하게 담아 깊은 울림을 전한다.
2025.11.25.
어린이 PD 백정민
60만 독자와 함께한 『긴긴밤』
그 감동을 잇는 루리 작가 신작

무슨 바람을 따라왔는지 우리는 다 여기서 만났어

사람들은 그 집을 올리브나무 집이라고 불렀다.
그 집에는 커다란 올리브나무가 있고,
그 나무 이름을 딴 나나 올리브가 살고 있다고 했다.
누군가는 나나 올리브가 젊은 사람이라고 했고, 누군가는 노인이라고 했다.
누군가는 개가 한 마리 있었다고 했고, 누군가는 여러 마리였다고 했다.
사람들마다 얘기가 달랐다.
하지만 그 집에 가면 다 괜찮아질 거라는 말은 모두가 똑같이 했다.

지구상의 마지막 하나가 된 흰바위코뿔소 노든과 버려진 알에서 태어난 어린 펭귄의 이야기 『긴긴밤』으로 60만 독자의 마음을 움직인 루리 작가가 또 한 번 마음을 흔드는 이야기로 우리를 찾아왔다. 사람들의 입에서 입으로 떠도는 이야기, 오랜 세월 한 번도 문이 닫힌 적이 없었던 올리브나무 집과 그 집을 지키는 ‘나나 올리브’와 얼룩무늬 개, 그리고 그 집 문기둥에 키 눈금을 새겼던 이들의 이야기이다.

이야기는 삼십 년 전의 약속을 떠올리며 올리브나무 집을 찾아 나선, 이제는 어른이 된 한 소년과 그 모험을 함께하기로 한 이들의 회상으로 시작한다. 희망이 필요했던 때, 그들에게 울타리가 되어 주었던 그 집은 어디에 있을까? 소년이 기억을 더듬으며 찾아간 그 집은 초록색 이끼로 덮여 있고 벽은 여기저기 무너져 있다. 그리고 놀랍게도 마치 어제처럼, 그때 보았던 얼룩무늬 개와 허리 꺾인 올리브나무가 그곳에 서서 그를 맞아 주었다.

시간의 더께가 앉은 집 안에는 이 집의 기쁨과 슬픔을 함께했을 뻐꾸기시계와 폭격으로 반 토막이 났던 식탁, 이 집을 ‘우리 집’이라고 불렀던 이들의 키 눈금으로 가득한 문기둥이 있다. 소년은 그 집의 주인이었던 ‘나나 올리브’를 찾고 싶지만 그 어디에서도 그녀에 대한 기록은 찾을 수 없다. 대신 소년은 올리브나무 집에서 오래된 노트를 발견한다. 글 첫머리마다 ‘나나에게’로 시작하는 이 노트는 자신을 ‘코흘리개’로 칭하는 누군가가 ‘나나 올리브’에게 보내는 그리움을 담은 편지였다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기",
2,어린이,사이언스 2026,374445625,9788949132457,74400,"내셔널지오그래픽 키즈 지음, 이한음.김아림 옮김",비룡소,20251020,28000,25200,"1,400점",36270,어린이,"책소개
MD 한마디
어린이를 위한 지구 탐험 교양서
2026년을 준비하는 어린이를 위한 지식 트렌드 리포트. 올해의 핵심 토픽을 한 권에 담았다. 내셔널지오그래픽의 생생한 사진과 최신 지식으로 세상의 변화를 배우는 초등 교양 필독서이자 매년 새롭게 업데이트되는 지식 연감.
2025.10.28.
어린이 PD 백정민
2026년을 준비하는
초등학생을 위한 지식 트렌드 리포트

올해의 과학·역사·교양 토픽을 한 권에!

2026년에 초등학생이 꼭 알아야 할 필수 지식과 최신 정보를 두루 모은 『내셔널지오그래픽 키즈 사이언스 2026』가 ㈜비룡소에서 출간되었다. 이 책은 전 세계 28개국에서 23개 언어로 발간되는 최고의 다큐멘터리 매거진 「내셔널지오그래픽」의 어린이 책 출판 브랜드 ‘내셔널지오그래픽 키즈’의 간판 도서다. 2010년 미국에서 처음 출간된 이래 해마다 동물, 우주, 지구, 기술, 문화, 역사, 지리, 환경 등 어린이가 꼭 알아야 할 지식을 골고루 선정하여 한 권으로 알차게 꾸린 종합 교양서다. 또한 영국, 독일, 인도, 싱가포르, 인도네시아, 이탈리아, 캐나다 등 세계의 어린이들이 함께 보는 세계적 스테디셀러이기도 하다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기","목차
2026년 올해의 토픽 8
말하는 식물 10
양 떼가 돌아다니는 태양광 발전 단지 10
얼룩무늬 없는 기린이 태어나다 11
미국 최초! 3D 프린터로 지은 이층집 11
못 말리는 빈집 털이 곰 12
청소년 티라노사우루스의 마지막 식사 13
동물은 색깔을 어떻게 볼까 13
고양이는 거의 300가지 얼굴 표정이 있다? 14
물에 띄운 태양 전지판 15
4만 6000년 동안 꽁꽁 얼어붙었어도 살아 있는 회충 15
2026 기억해야 할 기념일 16
지구만 한 외계 행성 17
말 그대로 도로에서 충전하기! 17
데굴데굴 앞구르기 하는 뱀 17


발견 20
우리 세계 연구하기 26
더 알아보기 32
잠깐 퀴즈!
편지 잘 쓰는 법


재미있는 동물 36
동물의 분류 44
위험에 처한 동물 46
물에서 사는 동물 50
독특한 동물 종 56
동물 친구들 58
야생 동물의 능력 60
곤충의 생태 64
고양이과 야생 동물 68
동물의 놀라운 능력 74
공룡의 특징 76
더 알아보기 84
잠깐 퀴즈!
아주 훌륭한 동물 보고서 쓰기


우주의 비밀 88
지구의 구조 96
더 알아보기 106
잠깐 퀴즈!
과학전람회 준비하기


탐험가의 지구 소식 110
사진 이야기 118
끝없는 탐험 이야기 122
깊이 이해하기 124
더 알아보기 126
잠깐 퀴즈!
완벽하고 훌륭한 보고서를 쓰는 법


이상하고 웃긴 130
수다쟁이 동물들 131, 136, 142
이건 뭘까? 132, 140
빈칸 채우기 133, 139
숨은 동물 찾기 134
깜짝 퀴즈 137, 141
진짜? 가짜? 138
재미로 그림 찾기! 144
못 말리는 친구들 146


조금 웃기는 농담 150, 156, 160, 162
동물의 엉뚱한 실수들 151
농담 반 진담 반 152, 158
알쏭달쏭 수수께끼 154, 156
곱씹어 보면 웃긴 이야기 155, 159
말장난 유머 157
꽤 긴 이야기 161
혀가 꼬이는 말 163


세계의 기념일과 휴일 166
세계의 이모저모 174
음식 문화 176
화폐와 문화 178
언어와 문화 180
고대 신화 182
세계의 종교 184
더 알아보기 186
잠깐 퀴즈!
새롭고 낯선 문화 탐사하기


발명을 돕는 기술 190
생물학의 기초 194
식물의 세계 196
인체 탐구하기 198
미래 기술 전망 206
더 알아보기 210
잠깐 퀴즈!
어려운 문제 풀이 방법


생물 군계 알아보기 214
바다의 이모저모 218
경이로운 자연 220
날씨와 기후 222
재난과 재해 230
더 알아보기 234
잠깐 퀴즈!
발표 잘하는 방법


유적과 옛이야기 238
국제적 분쟁 250
세계의 지도자들 252
더 알아보기 266
잠깐 퀴즈!
훌륭한 전기를 쓰는 법


지도의 이해 270
지리와 지형 상식 276
대륙의 지리적 특징 278
세계의 국가들 306
세계 여행 332
더 알아보기 352
잠깐 퀴즈!
우리는 어디에 있을까?

게임과 퍼즐 정답 354
찾아보기 356
글 저작권 364 | 사진 저작권 365
펼쳐보기"
3,어린이,에그박사 17,378222572,9791175483972,77490,"홍종현 그림, 박송이 글, 김보숙 감수, 에그박사 원작",미래엔아이세움,20251126,16800,15120,840점,29010,어린이,"책소개
생생한 관찰 스토리와 귀여운 생물 도감이 만났다!

《에그박사 17》은 인기 키즈 크리에이터 에그박사의 원작 영상을 생생한 관찰 스토리와 귀여운 생물 도감으로 재구성한 자연 생물 관찰 만화입니다. 과학자, 철학가, 예술가의 눈으로 곤충의 삶을 관찰했던 프랑스의 곤충학자 파브르의《곤충기》처럼 에그박사의 눈으로 바라본 신비롭고 놀라운 자연 생물의 이야기가 가득하지요. 주인공 에그박사와 양박사, 웅박사가 자연을 누비며 신기한 생물들을 관찰하는 짜릿한 메인 스토리와 의인화된 생물들의 서브 스토리의 구성은 자연에 대한 따뜻한 정서 공감을 끌어냄과 동시에 어린이들의 탐구 본능을 일깨워 줄 것입니다.또한 중간중간 수록된 생물 퀴즈 게임, 생물 도감 그리기, 관찰 보고서 작성하기 등 다양한 워크북 활동은 어린이 독자들의 탐구력과 집중력, 사고력을 높여 줄 것입니다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기","목차
1장 아프리카 육식 동물의 세계

1화 아프리카에서 온 편지
2화 치타 남매의 사냥 연습
생생 도감 새끼 치타와 새끼 사자 따라 그리기
3화 사파리 투어, 본격 시작!
4화 딱 걸렸어, 레온!
생생 사진첩 고양이과 맹수 전격 비교!
5화 베이스캠프의 작은 소동
6화 새벽의 사냥꾼들
생물 찾기 놀이 아프리카 동물의 수를 세어 볼까요?

2장 작은 육식 동물의 생존 방식

7화 하이에나의 추격
8화 위기의 초원
그림자 찾기 놀이 하이에나의 그림자를 찾아라!
9화 즐거운 워킹 사파리!
10화 리카온 무리의 등장
다른 그림 찾기 놀이 치타 가족에게 쫓기는 양박사
11화 레온의 운명은?!
12화 루마니의 정체
생물 탐험 여행기 에그박사의 아프리카 탐험 기록
에그박사 영상 제작 일기 ①②
정답
펼쳐보기"
4,어린이,모두의 수영장,375423948,9791168343252,77810,"신현경 지음, 노예지 그림",북스그라운드,20251105,16800,15120,840점,22250,어린이,"책소개
시리즈 10만 부 돌파! 어린이들의 최애 야옹이
〈야옹이 수영 교실〉 시리즈 4권 출간

꾸준한 사랑을 받으며 10만 부를 돌파한 어린이들의 최애 시리즈 〈야옹이 수영 교실〉이 4권으로 돌아왔다. 이번 권에서 야호 마을의 수영장은 잠시 문을 닫는다. 장애가 있는 고양이도 수영이 가능한 ‘모두의 수영장’으로 거듭나기 위해서 시설 공사에 돌입한 것이다. 그동안 야호 마을 야옹이들과 프릴은 비행기를 타고 사막 속 ‘오아시스 마을’에 머문다. 그곳에서 지내며 휠체어를 탄 디디가 모래 썰매를 즐기고, 버스를 타고 별을 보러 가고, 자연스럽게 수영까지 배우는 모습을 목격한다. 사막에서의 경험으로 야옹이들은 모두가 자유롭게 어우러져 살아가는 사회가 어떻게 가능한지를 생각한다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기",
5,어린이,호기심 가득한 어린이를 위한 이토록 굉장한 세계,374812175,9791167742452,73490,"에드 용 지음, 레베카 밀스 그림, 양병찬 옮김, 앤마리 앤더슨 각색",어크로스주니어,20251025,21000,18900,"1,050점",18045,어린이,"책소개
MD 한마디
보이지 않지만 존재하는 감각의 세계로
퓰리처상 수상 작가 에드 용의 『이토록 굉장한 세계』를 어린이 눈높이에 맞게 구성한 책. 인간이 느낄 수 없는 감각을 지닌 동물들의 세계를 흥미롭게 소개하며 세상을 새롭게 느끼는 감각의 여정으로 어린이들을 초대한다.
2025.11.04.
어린이 PD 백정민
빌 게이츠가 극찬했던 작가, 에드 용이 호기심 가득한 어린이들에게 건네는 책!
“동물들은 어떻게 인간과 다르게 감각할까요?”
인간은 알지 못하는, 동물들의 비밀스럽고 경이롭기까지 한 감각 세계 속으로!

퓰리처상 수상 작가, 에드 용이 어린이 독자들을 만납니다. 〈뉴욕타임스〉, 〈월스트리트저널〉, 〈워싱턴포스트〉, 〈가디언〉 등 20여 곳에서 2022 올해의 책 리스트로 선정, 2023 앤드류 카네기 메달 논픽션 수상작, 아마존 과학 분야 1위, 버락 오바마 추천 2022 베스트북이었던 《이토록 굉장한 세계》를 이제 어린이들도 쉽게 볼 수 있습니다. 한층 간결해진 설명과 화려한 그림이 우리의 눈을 사로잡을 것입니다. 인간은 알 수 없는 신비한 동물들의 감각 세계로 떠나볼까요? 그럼, 여행을 함께 시작해 보도록 해요.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기","목차
들어가며: 지구를 이해하는 새로운 방식

1. 냄새와 맛: 분자를 탐지하는 화학적 감각
2. 빛: 각각의 눈이 바라보는 수백 개의 우주
3. 색깔: 빨강, 초록, 파랑으로 표현할 수 없는 세계
4. 통증: 아무도 원하지 않는 감각
5. 열: 대단한 능력자들
6. 촉각과 흐름: 다소 거친 감각
7. 표면 진동: 흔들리는 땅
8. 소리: 각양각색의 귀
9. 메아리: 고요한 세상의 맞장구
10. 전기장과 자기장: 살아 있는 배터리와 나침반
11. 감각의 통합: 부분과 전체
12. 위기에 처한 감각 풍경: 고요함을 살리고 어둠을 보존하라

감사의 글
알아 두면 좋을 생명 과학 용어
펼쳐보기"
6,어린이,긴긴밤,263027170,9788954677158,73810,루리 지음,문학동네,20210203,12500,11250,620점,147625,어린이,"책소개
MD 한마디
제21회 문학동네어린이문학상 대상 수상작
가족들과 함께 자연 속에서 행복하게 살았지만 무분별한 남획으로 세상에 혼자 남게 된 흰바위코뿔소 ‘노든’, 태어나자마자 코뿔소의 손에 남겨진 어린 펭귄. 어린 펭귄을 바다에 데려다 주겠다는 약속을 지키기 위해 떠난 동물들의 여정 속에서 어둡게만 보이는 현실 속 희망을 발견한다.
2021.02.05.
어린이 PD 김수연
제21회 문학동네어린이문학상 대상 수상작 『긴긴밤』
세상에 마지막 하나 남은 흰바위코뿔소와
코뿔소 품에서 태어난 어린 펭귄.
그땐 기적인 줄 몰랐다, 머리부터 발끝까지 모든 것이 다른 우리에게 서로밖에 없다는 게.

세상에 마지막 하나 남은 코뿔소가 된다면, 소중한 이를 다 잃고도 ‘마지막 하나 남은 존재’의 무게를 온 영혼으로 감당해야 한다면 어떠할까? 친구의 마지막 부탁을 들어주기 위해, 어린 생명이 마땅히 있어야 할 안전한 곳을 찾아 주기 위해 본 적도 없는 바다를 향해 가는 마음은 어떤 것일까?

이 책은 지구상의 마지막 하나가 된 흰바위코뿔소 노든과 버려진 알에서 태어난 어린 펭귄이 수없는 긴긴밤을 함께하며, 바다를 찾아가는 이야기이다. 울퉁불퉁한 길 위에서 엉망인 발로도 다시 우뚝 일어설 수 있게 한 것은, 잠이 오지 않는 길고 컴컴한 밤을 기어이 밝힌 것은, “더러운 웅덩이에도 뜨는 별” 같은 의지이고, 사랑이고, 연대이다.

 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기","목차
코끼리 고아원
뿔 없는 코뿔소
버려진 알
파라다이스
첫 번째 기억
망고 열매 색 하늘
코뿔소의 바다
파란 지평선
심사평"
7,어린이,흔한남매 20,371918127,9791173479939,77810,"흔한남매 지음, 유난희 그림, 백난도 글, 흔한컴퍼니 감수",미래엔아이세움,20250917,16800,15120,840점,91285,어린이,"책소개
상상을 초월하는 아이디어로 큰 웃음을 선사하는 흔한남매!

갯벌에서 진주를 찾는 흔한남매, 지구 침략을 노리는 외계인, 발톱을 먹고 으뜸이로 변신한 쥐, 비밀 공간 만들기 대결, 세상에서 단 하나뿐인 뚱보 늘보로 변신한 으뜸이 등 대폭소가 터지는 흔한남매의 일상 속으로 출발해 봅시다!

유튜브 296만 구독 돌파! 인기 크리에이터 흔한남매

‘흔한남매’는 유튜브 구독자 수가 296만 명, 누적 조회 수가 40억 회를 넘어서는 인기 크리에이터로, 흔한컴퍼니에 소속되어 있습니다. 상황극콩트 등을 통해 어린이들에게 큰 사랑을 받고 있으며, 주로 남매 사이에서 일어날 수 있는 현실적인 에피소드를 코믹하게 그려 내어 웃음과 공감을 이끌어 내고 있습니다.

“흔한남매를 읽고 까르르 웃을 때가 제일 행복한 시간이래요.”
‘유쾌한 우애’와 ‘순수한 웃음’, ‘따뜻한 공감’으로 어린이들의 마음을 사로잡은 No.1 베스트셀러!

《흔한남매》 시리즈는 ‘흔한남매’ 유튜브 영상의 스토리를 앙증맞고 유머러스한 만화로 풀어 낸 코믹북입니다. 하루도 조용할 날이 없는 으뜸이와 에이미의 일상 스토리는 진짜 웃음이 필요한 어린이들에게 유쾌한 우애와 순수한 웃음을 선사할 것입니다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기","목차
01화 제멋대로 학교 놀이
02화 갯벌에서 진주 찾기
알쏭달쏭 다른 그림 찾기

03화 두근두근 으뜸이의 소개팅
04화 버리면 안 되는 이유 대결!
요리조리 사다리 타기

05화 오랜만에 만난 친구 유형
06화 공포의 시골집 안내 방송
꼭꼭 숨어라! 숨은그림찾기

07화 얼렁뚱땅 변명 대작전!
08화 두 명이 된 으뜸이?!
와글와글 진짜 으뜸이 찾기

09화 나만의 비밀 공간 만들기
10화 단 하나뿐인 뚱보 늘보
꼬불꼬불 미로 찾기

11화 추석맞이 공감 포인트
12화 외계인의 지구 침략?!
우당탕탕 홈 비디오
펼쳐보기"
8,어린이,정승제의 수학 대모험 1,376323402,9791194616412,74410,"설민석.조영선 지음, 최진규.박지영 그림, 정승제 감수",단꿈아이,20251110,16000,14400,800점,16150,어린이,"책소개
MD 한마디
승제 생선님과 시작하는 진짜 재미있는 수학
대한민국 일타 강사 정승제와 최고의 스토리텔러 설민석이 함께 만든 개념 중심 수학 학습만화. ‘루트리아’ 세계를 배경으로 수학의 기본 원리와 개념을 자연스럽게 익히며 수학의 재미를 느낄 수 있도록 구성했다.
2025.11.18.
어린이 PD 백정민
수포자들의 영원한 수학 멘토이자, 대한민국 일타 강사 정승제,
이번에는 초등학생을 위해 나섰다!
가장 쉽게 개념을 전달하는, 수학 학습 만화의 탄생!

지난 20여 년간 누적 수강생 1,000만 명을 기록하며 ‘수포자(수학 포기자)’의 구원자로 불리는 최고의 수학 강사 정승제! 정승제 선생님과 함께하는 수학 학습 만화 시리즈 〈정승제의 수학 대모험〉이 단꿈아이에서 출간되었습니다. 이 책은 초등학교 때 배우는 수학이 가장 단단할 수 있도록, 수학의 기본 개념과 원리 위주의 내용으로 구성되었습니다. 재미있게 이야기를 따라가는 동안, 가장 중요한 수학 개념이 아이들의 머릿속에 남길 바라는 정승제 선생님의 철학이 담겨 있지요. 특히 이 책의 세계관을 최고의 스토리텔러 설민석 선생님이 빚어, 어린이 친구들에게 더욱 흥미진진한 재미를 선사합니다. ‘루트리아’ 행성의 일타 수마법사로 변신한 ‘승제 생선님’의 활약을 책 속에서 확인해 보세요!
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기","목차
이 책을 보는 친구들에게 4
이 책의 특징 6
등장인물 8
프롤로그 예언의 아이 13
1화 승제 생선님을 만나다! 21
2화 웰컴 투 루트리아 65
3화 끝나지 않은 미션 107
수학 상식 156
두뇌 게임 162
단꿈 놀이터 168"
9,어린이,오늘이 내일을 데려올 거야,372528568,9791158365479,74840,"에린 엔트라다 켈리 지음, 고정아 옮김",책읽는곰,20250919,18000,16200,900점,30485,어린이,"책소개
MD 한마디
2025 뉴베리 대상 수상작
세기말 Y2K 공포 속, 12살 소년 앞에 시간 여행자가 나타난다. 불안으로 가득한 일상 속에서 소년은 처음으로 ‘지금, 이 순간’의 의미를 마주한다. 현재를 살아가는 아이들도 공감할 수 있는 고민과 위로를 섬세하게 담아낸 작품. 뉴베리 3관왕 에린 엔트라다 켈리가 전하는 가장 서정적인 성장 SF 동화
2025.09.23.
어린이 PD 백정민
2025년 뉴베리 대상에 빛나는 The First State of Being이 《오늘이 내일을 데려올 거야》라는 제목으로 번역 출간되었다. 이 작품은 에린 엔트라다 켈리의 세 번째 뉴베리 수상작으로 2024년 전미도서상 최종 후보에도 올랐다.

1999년 미국 델라웨어주, 열두 살 마이클 로사리오는 폭스런 아파트에서 엄마와 함께 살고 있다. 생각이 많은 만큼 걱정도 많고 소심하고 예민한 마이클은 엄마 몰래 Y2K에 대비하려고 좀도둑질로 생필품을 모으고 있으며, 중학생 돌보미 누나인 기비를 혼자 좋아한다. 겉으로 보기에는 평범한 하루하루를 보내고 있지만, 마이클의 마음은 불안과 혼돈으로 가득하다. 그렇게 맞이한 열두 살 생일, 마이클 앞에 수수께끼 소년 리지가 나타난다. 리지는 자신이 2199년에서 온 최초의 시간 여행자라며, 마이클에게도 기비에게도 거리낌 없이 다가온다. 기비는 이상한 애라고 말하면서도 제 또래인 리지에게 인간적인 호감과 호기심을 품는다. 자신감 넘치며 대담한 리지는 마이클이 되고 싶어 하는 이상형에 가깝다. 게다가 리지는 마이클이 가장 궁금해하면서도 결코 알고 싶지 않은 것, 그러니까 앞으로 일어날 일들이 적힌 '요약서'를 가지고 있다. 리지가 쇼핑몰과 전자레인지, 전화기가 있는 1999년의 세상에 흠뻑 빠져 있는 동안, 마이클은 리지에게 선망과 질투, 연민을 동시에 느끼는 한편, 처음으로 미래가 아닌 지금 여기, '존재의 첫 번째 순간'에 대해 생각하게 된다. 그리고 리지를 비롯해 마이클을 둘러싼 상황은 생각지도 못한 방향으로 흘러가는데……. '시간 여행'을 다룬 가장 서정적이고 가슴 뭉클한 SF 동화.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기",
10,어린이,반짝반짝 한국 미술사 그림책,371991185,9791185237657,77600,안승희 지음,한권의책,20250917,22000,19800,"1,100점",21980,어린이,"책소개
한국의 미술 작품을 한 권의 그림책으로 만나다

한국의 미술, 얼마만큼 좋아하나요? 김홍도, 정선, 안견, 신사임당, 김명국, 김정희, 신윤복, 장승업 그리고 이중섭까지 우리가 사랑하는 수많은 화가들이 있습니다. 그리고 그들의 아름다운 작품을 여기 한 권의 책에 그림으로 담았습니다. 그림으로 담았다고요? 맞습니다. 이 책의 저자인 안승희 작가는 우리 선조들의 작품을 다시 그림으로 그려서 책에 넣었어요. 대부분의 미술사 책들에는 사진으로 찍은 작품을 담았기에 조금은 딱딱하고 차가운 느낌이었습니다. 그리고 오래된 작품은 빛이 바래거나 손상된 경우가 많았지요. 그래서 원본이 가진 매력을 살리면서도 좀 더 생생함을 느낄 수 있고 또 현대적인 감각에 맞게 모든 작품들을 다시 그렸습니다. 작가는 작품 하나하나를 그리는 동안 이전에는 보이지 않던 작품 속 숨어 있던 의도나 평소 발견하지 못했던 세세한 부분들을 살피게 되었고 선조들이 이룩한 거대한 문화의 힘을 느낄 수 있었습니다. 함께 한국 미술관으로 여행을 떠나 볼까요? 우리 미술 작품들이 한데 모여 있는 박물관에 와 있다고 상상하며 지금 시작해 보아요.

미술의 흐름을 역사와 함께

7천 년 전 반구대 암각화부터 삼국 시대의 왕관과 금제 장식, 고려의 도자기와 불화, 조선의 회화 그리고 근대의 이중섭 그림까지 우리는 빛나는 문화의 시대를 오랫동안 만들고 또 지켜 왔습니다. 그렇게 길고도 찬란했던 예술의 역사를 전체적인 흐름과 함께 한 권으로 담아 보려 했습니다. 전작인 《반짝반짝 우리 문화유산 그림책》에서는 한국의 미술 작품이 주제별로 구성되어 있다면, 이 책에서는 시대의 흐름에 따라 쉽게 볼 수 있도록 배치하였습니다. 또한 전작에서는 회화를 포함한 모든 문화유산들을 다루었다면, 이번 책에서는 회화를 중심에 넣고 우리 전체 미술사를 살펴보았습니다. 그래서 회화 작품이 많이 남아 있지 않은 선사 시대부터 삼국 시대, 남북국 시대, 고려 시대까지는 대표적인 유물들을 시대별로 담았고, 조선 시대는 회화를 중심으로 하고 뒤이어 문화유산들을 볼 수 있게 했습니다. 우리 선조들이 남긴 미술 작품을 만나는 것은 매우 설레는 일입니다. 수천, 수백 년의 시간을 거슬러 가는 것이기에 가슴 벅찬 일이기도 합니다. 이 한 권의 책이 한국 미술사 여행의 작은 시작이 되기를 바랍니다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기","목차
작가의 말 5

신석기 ˙ 청동기 ˙ 철기 시대
신석기 시대 8
청동기 시대 10
철기 시대 12
삼국 시대
고구려 16
백제 18
신라 20
가야 22

남북국 시대
석조와 건축 26
불상 28
공예 30
발해 32

고려 시대
고려청자 36
석조와 건축 · 석탑 38
불상 40
불화 · 회화 42
공예 44

조선 전기 회화
안견 48
강희안 · 강희맹 · 이상좌 50
김정 · 신잠 · 양팽손 52
이암 54
신사임당 56
김시 · 이경윤 58
이정 · 황집중 · 어몽룡 60
이정 · 조속 62
김명국 64

조선 후기 회화
윤두서 68
정선 70
조영석 74
김두량 · 변상벽 76
심사정 · 이인상 78
최북 · 강세황 80
김홍도 82
이인문 · 김득신 86
신윤복 88
김정희 · 권돈인 90
조희룡 · 전기 92
신명연 · 남계우 · 김수철 · 홍세섭 94
장승업 96

조선 유물 ˙ 유적과 근대
불교 미술 102
건축 103
도자기 104
공예 106
민화 108
근대 미술 110
찾아보기 112
펼쳐보기"
