순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명),책소개,목차
1,요리/살림,냉동 집밥 대백과,375933095,9791191994452,13590,"요오리 지음, 이서경 감수",용감한까치,20251105,22800,20520,"1,140점",13660,요리/살림,"책소개
식사 준비 해방 선언!
“오늘 먹을 밥은 이미 만들어 두었습니다.”

미리 만들어 꺼내 먹는 집밥 혁명, ‘냉동 집밥 대백과’

아무리 피곤하고 바빠도 매일 먹는 끼니는 거를 수 없다. 든든히 먹은 ‘밥’은 지친 몸을 위한 에너지를 주고 오늘 하루도 열심히 살 수 있는 힘을 주는 중요한 원천이다. 사랑하는 가족의 건강을 책임지는 주부에게도, 일하면서 살림하느라 바쁜 워킹맘과 워킹대디에게도, 남는 음식 때문에 요리가 부담스러워 간단히 끼니만 때우기 일쑤였던 1인족에게도 오늘의 한 끼는 아무리 바빠도 양보할 수 없다. 하지만 매번 식사할 때마다 요리하기에는 우리에게는 시간도 체력도 터무니없이 부족하다. 그렇다고 배달 음식을 자주 이용하거나 밀키트 제품을 구매해 먹기에는 자꾸만 걱정되는 식비와 건강 문제를 모른 척 할 수 없다. 그렇다면 해답은 한 가지. 내가 직접 건강하고 맛있는, 신선한 밀키트를 만들어놓고 먹고 싶을 때마다 꺼내 먹으면 된다.

이 책은 밀키트의 모든 것, 이를 테면 ‘냉동 집밥 밀키트 A~Z’를 담았다. 워킹맘으로서 실제 고민하고 힘들어했던 부분을 반영해 자신만의 밀프렙 레시피를 개발한 저자의 모든 노하우와 방법을 최대한 자세하게 담아, 요리 초보에게는 따라 하기만 하면 돼 쉽고 프로 살림러에게는 참고할 수 있는 새로운 팁과 노하우를 알게 돼 재미있는 책이 되도록 했다. 밀프렙 후 냉동실에 넣고 최대 1~3개월 동안 보관하다 꺼내 먹는 밀키트인 만큼, 요리를 완성할 필요는 없어 만들기 쉽고, 먹을 때도 꺼내 해동하거나 데우기만 하면 돼 쉬운 ‘아주 쉬운 요리책’이다. 시간이 날 때 여유 있게 만들어 냉장실에 넣어두면, 이후 식사 준비 시간이 매우 행복해진다. 이사에 포장이사가 있다면, 당신의 부엌에는 ‘냉동 집밥 밀키트 레시피’가 있다. 모두가 식사 준비에서 해방될 수 있다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기",
2,요리/살림,류수영의 평생 레시피,366645662,9791194087700,13590,류수영 지음,세미콜론,20250625,25000,22500,"1,250점",91976,요리/살림,"책소개
MD 한마디
'어남선생' 류수영의 첫 요리책
누적 3억 뷰, 매회 화제를 모은 〈편스토랑〉의 '어남선생' 류수영표 레시피. 그중 가장 사랑받은 메뉴 79가지를 골라 방송에서 미처 전하지 못한 핵심 팁까지 더했다. 처음 요리를 접하는 순간부터, 요리가 익숙한 일상이 될 때까지 오래 곁에 두기 좋은 한 권.
2025.07.08.
가정 살림 PD 송고운
“된장찌개에 식초를 넣었더니, 감칠맛은 더하고 잡내가 날아갔어요.”
“당근 기름 하나로 모든 재료를 볶아 만든 김밥은, 향과 풍미가 최고예요.”
“설거지 걱정 없이 간단한데 맛은 레스토랑, 원 팬 파스타 이건 혁명이에요!”
“미역국에 사과를 넣어 끓인다고요? 오, 이거 대박이에요. 꼭 한번 해보세요.”

매일 쏟아지는 후기가 증명하는
대한민국 대표 집밥 마스터, 류수영의 첫 요리책!

너무 쉬워서 너무 맛있어서 대한민국 밥상을 발칵 뒤집어놓은, 자타공인 집밥 마스터 ‘어남선생’ 류수영. 수년간 자체 개발한 300여 개의 레시피를 추리고 추리고 추려서 한 권의 책으로 펴낸다. 남녀노소 모두의 입맛을 사로잡을 메뉴부터 한껏 분위기를 낼 수 있는 특식까지, 〈편스토랑〉을 비롯해 그동안 방송에서 소개했던 레시피 중에서 가장 사랑받은 79가지 메뉴를 엄선한 것이다. 책으로 만드는 과정에서 다시 한번 재료와 계량 및 소요 시간에 대한 꼼꼼한 점검이 이루어졌으며, 그 결과 좀 더 정교하고 완벽한 레시피로 재탄생했다.

부엌이 좁은 자취생, 끼니 챙기기가 막막한 사회 초년생, 이제 막 결혼한 신혼부부, 아이를 키우는 양육자, 은퇴하신 아버지까지, 남녀노소 불문하고 대한민국 국민이라면 모두의 필독서이다. 류수영이 만드는 음식은 조리법이 복잡하고 어려운 요리가 아니라, 저렴하고 일상적인 재료로 쉽고 간단하지만 깊은 맛을 내는 것이 특징이다. 또한 계량스푼이나 계량컵이 아닌 밥숟가락과 티스푼, 물컵과 소주잔을 이용하고, 후추나 식용유 역시 따로 덜지 않고 용기에서 바로 계량할 수 있도록 하는 등 극강의 간편함을 추구한다. 특히 이번 책에서는 조리도구도 프라이팬, 냄비, 칼 등만 있으면 모든 요리가 가능하며, 그 흔한 오븐이나 에어프라이어 없이 완성할 수 있도록 구성했다.

사소한 부분까지 상세하게 설명하고 있어 요리 초보자들도 쉽게 따라 할 수 있다는 점은 이 책의 가장 큰 매력 중 하나일 것이다. 제육볶음의 양념은 밀폐용기 뚜껑을 닫고 흔들면 잘 버무려진다거나, 닭볶음탕의 감자는 웍 가장자리 쪽에 빙 둘러 넣으면 부서지지 않는다거나, 냄비에 식용유를 넣고 바닥에 물결이 생기면 충분히 예열된 것이라거나, 닭백숙을 끓일 때 닭의 다리 힘줄 옆에 칼집을 내고 반대쪽 다리를 넣어 꼬아준다거나, 다진 마늘은 마지막에 넣어야 향이 훨씬 좋다거나, 카레나 반죽물을 갤 때 포크를 이용하면 잘 섞인다거나 하는 것들이 그것이다. 거의 모든 단계마다 적혀 있는 생생한 팁들은 마치 바로 옆에서 나만을 위해 안내하듯 친절하다. 수년에 걸쳐 거듭한 실패와 성공을 바탕으로 다듬어진 정교한 레시피인 만큼 독자들은 그런 시행착오를 조금이라도 덜 경험하기를 바라는 류수영의 마음이다.

유튜브에서 ‘류수영 레시피’ ‘어남선생 레시피’ 검색어를 입력하면 뜨는 영상의 누적 합산은 무려 3억 뷰가 넘는다. (2025년 5월 기준) 여기에 쇼츠, 그리고 인스타그램 등의 SNS 채널까지 더하면 더 이상 집계가 어려워질 정도인데, 저렴한 비용으로 차리는 푸짐하고 근사한 집밥, 매일 쏟아지는 후기가 보증한다. “요리 왕초보입니다. 덕분에 우리 집 식탁이 풍부해져요.” “어남선생은 그냥 요리 천재다.” “많은 레시피를 따라해봤지만 류수영 레시피만큼 쉽고 맛있는 건 없었어요.” “너무 맛있어서 내가 한 거 맞나 싶었어요.” 실제로 SNS에는 많은 시청자들이 류수영의 레시피를 따라 요리한 후기와 인증샷 혹은 영상이 올라오고, 관련 유튜브 동영상마다 수백 개의 댓글이 달릴 정도로 높은 참여와 호응을 얻고 있다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기",
3,요리/살림,북유럽 모티브 손뜨개 완전판,377015205,9791167185921,13590,"applemints 지음, 남궁가윤 옮김",제우미디어,20251113,19800,17820,990점,18300,건강/취미,"책소개
북유럽 감성을 담은 200가지 모티브 패턴!

노르딕, 아란, 페어아일 무늬로 깊이 있는 멋을 더하고,
화사한 꽃무늬와 아가일, 타탄 체크로 따뜻함을 더했습니다.

섬세한 짜임과 조화로운 색감으로 완성하는
감각적인 북유럽 스타일.

니트부터 쿠션, 가방, 소품까지 다양하게 응용할 수 있는
실용적인 디자인을 담았습니다.

한 코 한 코 쌓아 완성하는 나만의 작품,
『북유럽 모티브 손뜨개 완전판』으로
매일의 뜨개 시간에 북유럽의 온기를 더해보세요.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기",
4,요리/살림,나폴리 맛피아 시크릿 레시피,378809987,9791191994469,13590,권성준(나폴리 맛피아) 지음,용감한까치,20251125,26000,23400,"1,300점",12060,요리/살림,"책소개
〈흑백요리사〉 1등 셰프 권성준의 드디어 공개되는 이야기, 그리고 레시피

칼질조차 제대로 못하는 평범한 고등학생이 요리사를 꿈꾸며 이탈리아 최고의 요리 학교 ALMA의 학생이 되고, 미슐랭 2, 3 스타 레스토랑을 거쳐 오너 셰프가 되기까지 그가 겪고 느낀 무수한 경험과 그의 손을 거쳐 간 레시피 이야기. 넷플릭스 프로그램 〈흑백요리사〉에서 '흑수저 셰프'로 시작한 그는 '백수저 셰프'들을 제치고 100명의 셰프 중에서 당당히 1등을 거머쥐며 프로그램의 스포트라이트를 자기 것으로 만들었다. 꿈이 없어 무기력하기만 하던 평범한 고등학생이 내로라 하는 유명 셰프들을 이기고 '1등 셰프'가 되기까지, '마이 파우라(겁먹지 마라)'를 수없이 외치며 버텨온 그의 이야기를 통해 진짜 이탈리아 요리와 셰프들의 세계, 그리고 열정의 아름다움을 다시 한번 되새긴다.

""마이 파우라(두려워 하지 말라)""
이것은 평범한 고등학생이 미슐랭 레스토랑을 거쳐 오너 셰프가 되기까지의 이야기다

레시피에는 만든 이의 인생 스토리가 담겨 있다. 특히, '흑'에서 시작해 '백'을 이기고 명성 높은 셰프들 사이에서 우승을 거머쥔 나폴리맛피아 권성준의 레시피에는 누구도 알지 못한 그의 '진짜 이야기'가 담겨 있다. 꿈 없이 무기력한 학생이던 그에게 요리는 그가 매달리고 싶은 수단이자 목적이었다. 그때까지 무채색이었던 그의 인생에 요리라는 '전구'는 불을 밝혀주었고, 그가 요리하는 매 순간에 컬러를 입혀주었다.

이 책은 '누구나 요리할 수 있다'는 그의 메시지를 독자에게 던진다. 요리와는 전혀 상관 없는, 평범한 고등학생이던 그가 무턱대고 '쉐프'를 꿈으로 삼고 독학으로 부딪혔던 이야기, 경험 많은 동료들 사이에서 열정 하나로 버티면서 뒤떨어지지 않기 위해 피나게 노력했던 이야기 등 저자는 그의 이야기와 레시피를 통해 꿈꾸는 사람이라면 누구나 할 수 있다고 말한다. 그는 자신의 이야기를 통해 당신의 인생에서 무엇을 '요리'할지, 또 그 '레시피'의 완성도가 어떨지는 오로지 당신에게 달려 있다고 전한다.

'넉넉지 못한 형편에 무턱대고 유학을 가겠다는 아들에 대한 어머니의 반응은?' '칼질조차 제대로 하지 못해 문제아로 찍혔던 그가 실력의 간극을 단기간에 돌파하기 위해 선택했던 방법은?' '일주일 내내 같은 레시피만 반복해서 만든 결과는?' 첫 장을 넘기면 그가 처음 '셰프'를 꿈꾸면서 시작했던 여정이 지면 위로 펼쳐진다. 평범한 학생이 맞닥뜨렸던 생생한 현장과 긴장감, 그리고 그 속에서 열심히 버티며 노력에 노력을 거듭한 그의 '숨은 진짜 이야기'에 집중하다 보면, 과연 무엇이 '꿈꾸는 이'를 '일류'로 만드는 것인가를 다시금 깨닫게 된다.

자신의 첫 요리를 재해석해 만든 파스타, 롤모델이자 스승을 오마주한 레시피, 일주일 동안 하루에 수십 번씩 연습했던 리소토, 미슐랭 레스토랑에서 점심마다 만들어 먹던 스태프 밀, 이탈리아의 지역별 대표 소스와 재료로 만든 라구 파스타와 토끼 파스타, 나폴리의 골목에서만 먹을 수 있는 특별한 해산물 요리, 그리고 나폴리 사람들의 소울 푸드인 파스타 에 파타테까지. 생동감이 흘러넘치는 그의 이야기 사이로 그간 한국에선 쉽게 찾아볼 수 없던 이탈리안 레시피는 물론, 그가 자신의 레스토랑을 위해, 그리고 〈흑백요리사〉를 위해 직접 개발하거나 재해석한, 자신의 보석함에 넣고 아끼면서 아직 일반에게 공개하지 않은 '시크릿 레시피'를 소개한다. 그의 요리를 따라 만든 파스타 한 입은 우리 집을 이탈리아의 어느 한 가정집으로, 고급스러운 미슐랭 3 스타 레스토랑의 다이닝 테이블로, 셰프들의 치열한 긴장감이 가득한 〈흑백요리사〉의 현장으로 만들어 줄 것이다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기",
5,요리/살림,2026 맘마미아 가계부,372310695,8809479180204,1,맘마미아 지음,진서원,20250915,12000,10800,600점,9580,요리/살림,"책소개
〈맘마미아 가계부〉 10년 연속 1위 국민 가계부!
손으로 쓰면서 반성, 아날로그 가계부의 힘!
책 속 부록 - 코스피 5000 왕초보 추천 ETF

10년 동안 1등을 놓치지 않은 〈맘마미아 가계부〉. 올해도 강력하게 업그레이드되어 돌아왔다! 〈맘마미아 가계부〉는 네이버 No.1 카페인 ‘월급쟁이 재테크 연구카페(월재연)’ 회원들이 함께 참여한 결과물이다. ro*님은 가계부를 펼치고 펜을 잡으면 치밀하게 구성된 4단계 결산(일간/주간/월간/연간)으로 자동절약이 된다고 했고 dy*님은 스마트폰 앱을 쓸 때보다 소비습관이 개선되었다고 했다. ba*님은 무지출 스티커로 소소한 지출이 통제되었으며 w*님은 10년 넘게 절약과 투자를 기록하면서 결국 내집마련을 하게 되었다. 월재연 카페에는 이런 독자들이 많다. 가계부 쓰기를 습관화하면 불필요한 소비가 억제되고 저축액 증가로 이어지고 자산상승의 선순환이 생긴다. 먼 길을 가려면 함께 가라고 하지 않던가? 혼자서 가계부를 쓰면 금방 포기하지만 월재연 게시판에 인증샷을 남기고 응원을 주고받으면 1년 내내 꾸준히 가계부를 쓸 수 있다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기",
6,요리/살림,겨울 손뜨개 가방,278404039,9791160077315,13590,"아사히신문출판 지음, 강수현 옮김",한즈미디어(한스미디어),20210825,3300,2970,160점,7971,건강/취미,"책소개
대바늘과 코바늘로 완성하는
포근포근 겨울 손뜨개 가방

다양한 뜨개 패턴과 디자인으로
나만의 멋진 겨울 손뜨개 가방을 만들어보세요!

큼지막한 가방부터 작은 토트백, 귀여운 복주머니 가방, 에코 퍼를 활용한 복슬복슬 가방과고급스러운 레이스 무늬 손가방, 트렌디한 체크와 트위트 가방까지. 이 책에서는 대바늘과 코바늘로 뜨는 24가지 다채로운 손뜨개 가방을 소개한다. 입체 꽃무늬, 레이스, 바구니 무늬, 에코 퍼, 꽈배기와 체크 등 손뜨개의 즐거움을 더해주는 다양한 뜨개 가방 디자인을 모았다. 니트 백은 쓰다 보면 늘어날까봐 걱정된다는 분들도 안심할 수 있도록 손잡이 부분에 리본을 겹치거나, 멋스러운 가죽과 나무 손잡이를 활용하거나, 지퍼를 달고 안감을 넣는 방법 등 손뜨개 가방 만들기에 꼭 필요한 실용적이고 다양한 아이디어도 소개했다. 또한 초보자도 안심하고 도전할 수 있도록 기본적인 대바늘뜨기와 코바늘뜨기 기초, 실이 늘어나지 않고 탄탄하게 니트 백을 뜨는 요령, 가방 크기에 맞는 안감 패턴 만드는 방법도 상세하게 설명했다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기",
7,요리/살림,뿐이 토핑 이유식,335110473,9791168222724,13590,"정주희 지음, 이수진 감수",서사원,20240307,29800,26820,"1,490점",28396,요리/살림,"책소개
MD 한마디
이제는 토핑 이유식이다!
국민 이유식 책 『튼이 이유식』 이후 5년 만에 출간된 『뿐이 토핑 이유식』. 이른둥이 둘째 뿐이를 건강하게 키운 엄마표 이유식이 최신 이유식 트렌드인 '토핑 이유식'으로 돌아왔다! 최신 이유식 정보는 물론 쉽게 따라 할 수 있는 레시피를 통해 아이의 건강과 입맛까지 고려한 맛있는 이유식 레시피를 소개한다. 이유식 시작이 막막한 초보 부모들도 이 책과 함께라면 이유식 완주가 어렵지 않을 것이다.
2024.03.12.
가정 살림 PD 백정민
국민이유식 책 『튼이 이유식』 이후 5년만의 신간!
첫째 튼이에 이어서, 둘째 뿐이도 건강하게 키워낸
『뿐이 토핑 이유식』을 소개합니다!

첫째 튼이를 건강하게 키운 『튼이 이유식』 출간 이후 5년이 흘렀습니다. 그동안 『튼이 이유식』은 초보 부모들의 이유식 길라잡이자 국민이유식 책이 되었습니다. 희야 작가는 튼이 동생을 갖기 위해 매우 노력했지만 쉽지 않았는데요. 오랜 기다림과 노력 끝에(시험관 7차) 35주 1일 차에 둘째 뿐이는 2.32kg 저체중의 이른둥이로 태어났습니다. 스스로 호흡하는 걸 힘들어해서 태어나자마자 대학병원 신생아 집중치료실에 입원했어요. 게다가 심방중격결손(심장에 구멍이 있다) 진단까지 받아서 엄마아빠 마음이 무너져내렸습니다. 다행히 엄마표 이유식을 먹고 건강하게 자라서 수술 없이 심방중격결손 완치 판정을 받았습니다.

희야 작가는 첫째 튼이를 위해서 죽 이유식(밥솥 이유식)을, 이른둥이 뿐이를 위해서 토핑 이유식, 자기주도이유식까지 모두 만들어봤습니다. 또한 미국 소아과학회, WHO 자료, 해외 논문 등을 찾아보면서 변경된 이유식 지침에 대해서도 열심히 조사하고 공부했습니다. 그 모든 경험과 지식, 노하우를 이 책에 담았습니다. 이유식을 처음 시작하는 분들에게 도움이 되기를 바랍니다.

토핑 이유식, 죽 이유식(밥솥 이유식), 자기주도이유식, 형태만 조금씩 다를 뿐 결국 같은 이유식이고, 아기가 잘 먹는다면 어떤 방법이든 괜찮습니다. 2.32kg으로 만지면 부서질 것만 같았던 이른둥이 뿐이는 이유식을 먹고 10kg이 넘을 정도로 건강하게 자랐습니다.

이유식의 목표는 아기가 돌이 되었을 때 가족이 한 자리에 모여서 삼시 세 끼 즐거운 식사를 하는 것입니다. 조금 느리게 천천히 진행되더라도 아기를 믿고 기다려주세요. 여러분의 사랑스러운 아기들도 뿐이처럼 잘 먹고 건강하게 자라날 테니까요.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기",
8,요리/살림,프레지애의 스타일리시 니트,375421994,9791194374497,13590,서지애 지음,클,20251114,23000,20700,"1,150점",5615,건강/취미,"책소개
기본 기법의 스웨터부터 풀오버, 베스트, 카디건까지
다채로운 취향을 만족시키는 감각적인 니트 13작품

다양한 SNS 채널을 통해 뜨개의 즐거움을 전하는 뜨개 크리에이터 프레지애의 첫 작품집이 출간되었다. 뜨개를 보다 친숙한 취미로 제안해 온 저자는 이번 책에서 오랫동안 사랑받은 인기 니트 6종에 미공개 신작 7종을 더해, 누구나 입고 싶은 13가지 니트웨어를 선보인다.

초보자도 손쉽게 만들 수 있는 기본 기법의 스웨터와 베스트부터 배색 포인트가 돋보이는 니트, 완성도 높은 카디건까지 다양한 난이도와 스타일의 작품을 수록했다.

단정하면서 편안한 풀오버, 기성복처럼 트렌디한 카디건, 도톰한 짜임의 질감이 매력적인 스웨터, 고양이 무늬가 사랑스러운 코위찬 집업 등 디자인 곳곳에 프레지애 특유의 감각과 따뜻한 시선이 담겨 있다.

각 작품은 여러 사이즈로 구성해 체형에 맞게 선택이 가능하다. 도안에는 상세한 설명과 QR코드 영상을 함께 제공해 처음 뜨개를 시작하는 사람도 부담 없이 도전할 수 있도록 돕는다.

「프레지애의 스타일리시 니트」와 함께 일상 속 니트를 직접 만드는 즐거움과 뜨개가 건네는 따스한 여유를 경험해보자.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기",
9,요리/살림,에코백 손뜨개,315553311,9788969525413,13630,"애플민트 지음, 정연주 옮김",경향BP,20230503,3600,3240,180점,5654,건강/취미,"책소개
계절에 어울리는 나만의 에코백을 만들어 보세요
아기자기하고 예뻐서 어디에든, 누구를 만나든 사계절 내내 들고 다닐 수 있는 에코백과 서브백을 소개했습니다. 멋진 옷차림을 완성하는 포인트 소품으로도 손색이 없는 디자인들입니다. 유명 뜨개 디자이너들이 만든 작품이라 디자인이 독창적이고 세련되어 선물하기에도 좋습니다. 봄에는 화사한 색으로, 가을에는 차분한 색으로, 여름에는 까슬거리는 가벼운 실로, 겨울에는 보들보들 포근한 실로 떠 보세요. 계절과 잘 어울리는 개성 있는 나만의 에코백을 완성할 수 있습니다. 책에서 소개하는 네트 백, 체크무늬 가방, 모눈뜨기 가방, 모티브 백, 스퀘어 백, 파인애플 무늬 가방, 주머니 달린 가방, 바이컬러 백, 케이스 달린 가방, 복주머니 가방, 플랫 백 등을 취향에 따라 실 종류와 색상을 바꿔 떠도 좋습니다. 작게 접을 수 있어서 간편하면서도 예쁜 에코백을 직접 떠서 매일매일의 기분에 따라 활용해 보세요.

상세하게 설명하여 초보자도 따라 뜨기 쉬워요
코바늘 뜨개 초보자도 쉽게 따라 할 수 있는 에코백 작품 도안과 만드는 방법을 소개했습니다. 뜨개실의 종류, 색 배합, 코바늘 호수에 변화를 주면 하나의 도안으로도 다양한 작품을 만들 수 있습니다. 언뜻 보기에는 어려워 보이는 무늬도 한 번만 익히면 뜨는 방법이 반복되어서 어렵지 않게 뜰 수 있습니다. 기호표 보는 법, 실과 바늘 잡는 법, 첫코 만드는 법, 사슬코 찾는 법, 앞단 코 줍는 법, 배색 무늬뜨기 뜨는 법, 감침질하기 등 코바늘 뜨기의 기초를 비롯하여 모티브를 만들어 연결하는 법, 가방의 형태를 잡아 주는 바닥 뜨는 법, 체크무늬 뜨는 법, 주머니의 무늬 뜨는 법 등 에코백의 개성을 살려 주는 방법을 자세히 알려 줍니다. 책에서 설명하는 대로 차근차근 따라 하면 멋진 결과물을 얻을 수 있습니다. 깔끔하게 보관할 수 있도록 접는 법도 알려 줍니다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기",
10,요리/살림,2026 기적의 가계부,372707922,8809990709328,1,김해진 지음,래디시,20251010,20000,16000,600점,8490,요리/살림,"책소개
5인 가족 한 달 식비 50만 원의 기적!
국내 최초 ‘식비 중심’ 화제의 가계부 플래너
부록 〈2026 기적의 가계부〉 무지출 스티커
2025년 10월~2026년 12월까지 총 15개월 제공

12만 팔로워의 압도적인 지지를 받으며 출간 즉시 1위에 오른 『기적의 가계부』. 쓰기 쉽게 펼칠 수 있는 고급스러운 누드 사철제본 방식을 고수하며, 매년 세련된 디자인을 선보이고 있다. 이번에는 작년 사은품으로 큰 인기를 끌었던 무지출 스티커를 책 속에 부록으로 담았다. 먼슬리 지출칸에 맞게 제작되어 한 달 간 ‘무지출 데이’를 늘리는 것을 목표로 삼을 수 있도록 돕는다.

재테크 왕초보자에게 새로운 희망이 되어줄 ‘기적의 가계부’는 이미 수많은 성공 사례를 만들었다. 김해진 작가는 1억 5천만 원의 대출금을 3년 이내에 모두 상환하는 기적을 선보였다. 그가 직접 이끄는 가계부 모임 멤버인 ‘박O영’ 님은 한 달에 십 만원도 모으지 못하던 소비 습관을 고치고 천만 원이 넘는 대출을 단기간에 상환하면서 동시에 천만 원짜리 적금 만기를 달성하고 다음 목표를 향해 나아간다. 식비 카드 값만 300만 원을 쓰던 한 주부는 카드에서 현금 생활로 넘어가 작가와 동일하게 한 달 식비 50만 원을 달성해내는 경지에 이르기도 했다.

가계부에는 삶의 방향이 담겨 있다. 여러분도 기적을 만들고 싶다면 지금 당장 시작해보자. 오늘이 우리의 삶을 바꿀 수 있는 가장 빠른 날이 될 것이다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기",
