순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명),책소개,목차
1,유아,언제나 기억해,373383665,9788997381005,7840,"찰리 맥커시 지음, 이진경 옮김",상상의힘,20251009,22000,19800,"1,100점",24625,에세이,"책소개
『소년과 두더지와 여우와 말』이란 책이 처음 세상에 나온 것은 영국에서는 2019년 10월이었다. 그로부터 6년이 지났다. ‘자고 일어났더니 유명해져 있었다’는 말처럼 찰리 맥커시는 일약 유명한 사람이 되었다. 그의 책은 코로나 팬데믹 속에서 삶의 희망을 잇는 ‘특별한 책’으로 하나의 사회 현상이 되었다. 전 세계 누적 1,000만 부가 팔렸으며, [해리 포터]에 이어 ‘역사상 두 번째로 많이 팔린 양장본 책’이 되었다.

그렇게 하나의 현상으로 자리 잡은 이 책의 두 번째 권이 출간되었다. 소년과 두더지와 여우와 말은 여전히 길 위에 있으며, 여전히 집을 향해 가고 있다. 여기에 폭풍우가 몰아치는 더 엄중한 시련에 맞서고 있는 점이 다를 뿐이다. 그럼에도 전작의 그림은 채색이 더해졌을 뿐 아름다움을 여전히 간직하고 있으며, 글이 건네는 성찰은 더욱 깊고 따스하다, 어느 독자의 “이 책을 읽다 보면 어느 순간 나오는 것은 말이 아니라 눈물이다.”란 감상은 한 치 과장이 아니다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기","목차
서언 ……………………………… 4
본문 ……………………………… 8
감사의 말 …………………… 127"
2,유아,크리스마스까지 24일 행복한 도서관 Advent Calendar,374966800,9791171200474,74800,"레슬리 심스 외 지음, 벤 맨틀 외 그림, 김영진 옮김",어스본코리아,20251027,35000,31500,"1,750점",12550,유아,"책소개
D-24 크리스마스 카운트다운!
크리스마스를 기다리는 설렘 가득한 시간
행복을 전하는 특별한 크리스마스 선물!

세계 명작 그림책 24권 포함

「크리스마스까지 24일 행복한 도서관 Advent Calendar」에는 작고 예쁜 ‘세계 명작 그림책’ 24권이 실려 있어요. 크리스마스 24일 전부터 크리스마스를 기다리는 마음으로, ‘행복한 도서관’의 스물네 개 창문을 하루에 하나씩 열어 보세요. 전 세계에서 사랑받아 온 세계 명작 그림책 24권을 만날 수 있어요. 하루에 한 권씩 그림책을 읽어 나가면, 모두 24권의 책을 읽는 사이 매일매일 행복하고 설레는 마음으로 크리스마스를 맞이할 수 있답니다.","목차
■ [세계 명작 그림책] 24권 목록
1. 크리스마스트리와 거미줄
2. 잠자는 숲속의 공주
3. 특별한 세 가지 소원
4. 용을 그리는 화가
5. 춤추는 열두 공주
6. 징글 벨
7. 마법의 장난감 기계
8. 장난감 병정의 모험
9. 내 친구 다정한 용
10. 백조의 호수
11. 병 속의 요정 지니
12. 사자와 생쥐
13. 불새
14. 토끼와 거북이
15. 와글와글 토끼의 집
16. 황금 거위
17. 미녀와 야수
18. 양치기 소년
19. 시골 쥐와 도시 쥐
20. 코펠리아
21. 장화 신은 고양이
22. 눈의 여왕
23. 공룡들의 행복한 선물
24. 크리스마스 캐럴
펼쳐보기"
3,유아,빨리 크리스마스가 왔으면 좋겠어,374630697,9788964965382,77840,"로렌 차일드 지음, 장미란 옮김",토토북,20251110,17000,15300,850점,11845,유아,"책소개
〈찰리와 롤라〉 탄생 25주년 기념
로렌 차일드가 전하는 마법 같은 크리스마스 이야기

매 순간 크리스마스를 기다리며 ‘어떻게 하면 조금이라도 더 빨리 크리스마스가 올까?’ 안달하는 어린이의 모습을 발랄하게 담아낸 그림책 《빨리 크리스마스가 왔으면 좋겠어》가 토토북에서 출간되었습니다. 세계적으로 사랑받는 작가 로렌 차일드가 〈찰리와 롤라〉 시리즈의 탄생 25주년을 기념하여 독자들에게 전하는 특별한 선물이지요. 사랑스러운 남매 찰리와 롤라의 설렘 가득하고 즐거운 ‘크리스마스 기다리기 대작전’에 독자 여러분을 초대합니다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기",
4,유아,우리는 언제나 다시 만나,113482584,9788962478518,77800,"윤여림 지음, 안녕달 그림",위즈덤하우스,20170720,12000,10800,600점,52143,유아,"책소개
엄마가 세상에 하나뿐인 아이에게 전하는 사랑과 응원의 메시지

신이 세상 모든 곳에 존재할 수 없어 ‘엄마’가 존재한다는 말이 있습니다. 그만큼 ‘엄마’라는 존재는 아이에게 세상에서 가장 따뜻한 품이자 든든한 버팀목이 아닐까요? 엄마 또한 세상에 하나뿐인 아이를 위해 무엇이든 다 할 수 있고, 무엇이든 해 주고 싶은 마음입니다. 하지만 아이가 점점 자라면서 엄마가 아이와 모든 것을 함께 할 수 없다는 걸 알게 됩니다. 그리고 언젠가는 엄마 곁을 떠나 아이 혼자서 세상을 마주하고, 혼자서 걸어가야 할 순간이 찾아오지요. 바로 그때 엄마가 아이에게 들려줘야 할 그림책이 있습니다.

『우리는 언제나 다시 만나』는 앞으로 멋지게 세상을 살아갈 아이에게 전하는 엄마의 사랑과 응원의 메시지입니다. 태어나서 어른이 될 때까지....... 변화무쌍한 성장 과정 속에서 아이에 대한 엄마의 변함없는 사랑을 이야기합니다. 아주 오랫동안 떨어져 있다 해도, 엄마는 너를 사랑하고, 언제나 우리는 다시 만난다는 걸 알려줍니다. 그러니 세상을 누비며 마음껏 날아다니다 힘들면 언제든 엄마를 찾아오라고 말하지요. 다시 날아오를 힘이 생길 때까지 꼭 엄마가 꼭 안아 줄 거니까요. 이 책은 엄마라면 누구나 공감하고 아이에게 매일매일 들려주고 싶을 것입니다. 지금 끊임없이 엄마를 찾는 유아기 아이의 엄마뿐 아니라, 앞으로 태어날 아이를 기다리는 예비 엄마, 어느덧 아이가 자라서 곧 떠나 보내야 할 청소년기 아이의 엄마… 모든 엄마가 사랑하는 아이에게 들려주고 싶은 따뜻한 사랑과 힘찬 응원을 담고 있습니다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기",
5,유아,1001가지 숨은그림찾기 : 크리스마스,376158311,9791171201181,74370,"알렉스 프리스 지음, 테리 고워 그림, 송지혜 옮김",어스본코리아,20251106,12500,11250,620점,10510,유아,"책소개
아주 특별한 크리스마스를 보내는 방법!
크리스마스의 풍경 속에서 즐기는 숨은그림찾기

‘수 세기’를 쉽고 재밌게,
집중력과 관찰력이 쑥쑥 자라요!

크리스마스 풍경 속에 무엇이 숨어 있을까요?

흰 눈이 소복이 쌓인 산타 마을, 반짝반짝 장식이 가득한 크리스마스트리, 재미난 장난감이 가득한 산타의 작업실, 왁자지껄 크리스마스 파티까지 설렘 가득한 13가지 크리스마스 풍경이 실려 있어요. 커다랗게 펼쳐진 13가지 장면 속에는 산타 할아버지와 할머니, 다양한 요정과 사물들이 등장하지요. 무엇을 몇 개씩 찾아야 하는지 보여 주는 ‘보기 그림’의 특징을 잘 살펴보고, 차근차근 수를 세며 하나도 놓치지 말고 찾아보세요. 숨어 있는 1001가지 그림을 찾는 동안 집중하는 힘과 관찰하는 힘이 자라날 거예요.",
6,유아,감정 호텔 (크리스마스 에디션),376911049,9791158364519,77840,"리디아 브란코비치 지음, 장미란 옮김",책읽는곰,20240223,15000,13500,750점,31658,유아,"책소개
〈이서윤의 초등생활처방전〉 이서윤 · 〈어디든학교〉 하유정 선생님 강력 추천!
전 세계 21개국 출간, 화제의 베스트셀러!
〈감정 호텔〉 크리스마스 에디션


날마다 다른 감정들이 머물다 가는 곳,
감정 호텔에 오신 것을 환영합니다!

목소리가 작은 슬픔, 시끄러운 분노,
주목받기 좋아하는 불안,
호텔이 조용해지면 찾아오는 평화까지….
오늘은 또 어떤 감정이 여러분의 감정 호텔에 머무르고 있나요?

감정 호텔에는 날마다 다양한 감정이 찾아온다. 감정마다 주의할 점도 다 다르다. 목소리가 작은 슬픔의 이야기는 귀를 기울이지 않으면 잘 들리지 않는다. 시끄러운 분노는 마음껏 소리 지를 수 있도록 가장 큰 방을 내주어야 한다. 감정 호텔의 지배인은 감정들이 잘 지내고 있는지 늘 세심하게 보살펴야 한다. 그러나 늘 까다로운 손님만 있는 것은 아니다. 사랑과 기쁨, 그리고 희망이 찾아오면 호텔은 환한 빛과 웃음이 가득한 마법 같은 곳으로 바뀐다. 그리고 그 중심에는 어떤 감정이라도 따뜻하게 맞이하고 이야기를 들어 줄 여러분이라는 지배인이 있다.

 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기",
7,유아,엄마가 유령이 되었어!,83509745,9788955823509,77830,"노부미 글.그림, 이기웅 옮김",길벗어린이,20160515,12000,10800,600점,8437,유아,"책소개
일본 열도를 웃고 울린 감동의 화제작!
★ 2015년 7월 출간 이후 40만 부 돌파(2016년 5월 기준)
★ 2015 일본 아마존 그림책 1위
★ 일본 전국학교도서관협의회 선정 도서

우리 엄마가 귀신이 되었다고?

귀엽고 사랑스러운 표지를 펼치자마자 “엄마가 자동차에 부딪쳐서 유령이 되었습니다.” 하고 충격적인 시작을 합니다. 내가 갑자기 죽다니, 화들짝 놀란 마음을 겨우 달랜 엄마 유령은 자신이 죽은 것보다 아들 건이가 더 걱정입니다. 엄마 없이 우리 아들, 괜찮을까요? 건이가 궁금해 집으로 날아가 보니, 아니나 다를까 할머니 품에서 엉엉 울고 있는 아이가 보입니다. 엄마 유령은 건이와 할머니 주변을 맴돌며 자신의 존재를 알리지만 아무도 엄마 유령의 모습은 볼 수 없습니다. 그런데 그날 밤, 12시가 지나자 기적처럼 엄마 유령의 모습이 건이에게 보입니다. 드디어 서로 말을 나눌 수 있게 된 두 사람, 이제껏 하지 못했던 마음속 깊은 이야기를 하나둘 꺼내기 시작합니다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기",
8,유아,내가 바라는 건,376251052,9788925573205,77810,"김세실 지음, 염혜원 그림",모든요일그림책,20251110,17000,15300,850점,9040,유아,"책소개
tvN 『유 퀴즈』 출연 소아정신과 전문의 손성은 X KBS FM 『세상의 모든 음악』 작가 김미라
화이트 레이븐스 수상 작가, 유치원 교사, 그림책 활동가 이숙현 강력 추천!

그림책테라피스트 김세실 X 세계 유수 그림책상 수상 염혜원
사랑하는 우리 아이에게 바라는 한 해 소망!
“내가 정말 바라는 건··· 그 모든 순간에 네가 행복한 것!”

《내가 바라는 건》은 부모가 사랑하는 아이에 대해 바라는 한 해 소망을 담은 그림책이다. 책장을 펼치면 1년 열두 달, 시간의 흐름 속에서 다양한 가족과 아이의 모습이 등장하고, 화자인 양육자는 ‘1월, 2월, 3월 우리 아이가 이렇게 자라면 좋겠어.‘라는 바람을 나긋나긋 건넨다. 매 페이지, 아이를 향한 부모의 조건 없는 사랑과 아이에 대한 축복이 가득하다.

글을 쓴 김세실 작가는 오랫동안 아동 심리치료사이자, 그림책으로 육아하는 법을 알려 온 그림책테라피스트로, 이번 신작 또한 그림책을 매개로 양육자와 아이가 적극적으로 함께 소통하며 정서적인 교감을 나누도록 돕는다. 그림은 일러스트레이터 염혜원이 맡았다. 염혜원 작가는 볼로냐 라가치상, 에즈라 잭 키츠상, 보스턴 글로브 혼북상 등 세계적으로 권위 있는 상을 수상한 한국의 대표 일러스트레이터이다. 염혜원 작가는 글과 그림을 멋지게 연결해 또 한 번의 사랑스럽고 매력적인 염혜원표 ’하이 콘셉트 high-concept 그림책‘을 만들었다.

작품은 더스트 재킷과 속표지 그림을 다르게 표현해 시각적인 즐거움을 더하고, 뒤표지의 아이들 그림을 보며 아이가 자연스럽게 자신의 소망을 이야기할 수 있도록 한 구성 또한 돋보인다. 무엇보다 한 해의 행복을 기원하는 축복의 언어, 사랑의 메시지로 가득해, 모든 세대가 함께 감상하며 지난 시간을 돌아보고, 새해의 소망을 나누기에 좋은 그림책이다. 사랑하고 존경하는 이들에게 마음을 전하는 특별한 선물로도 추천한다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기",
9,유아,우리 누리 크리스마스,374999059,9791194770381,77810,연수 지음,위즈덤하우스,20251121,19800,17820,990점,8085,유아,"책소개
“오늘 우리는 아주 멋진 우리만의 투리를 만들 거야.”
가장 한국적이고, 가장 밝게 빛나는 크리스마스!

넓은 세상을 누비고 돌아온 아이는 오랜만에 만난 친구들에게 들뜬 모습으로 무언가를 설명합니다. 바로 형형색색 화려하고, 반짝반짝 빛이 나는 크리스마스 트리입니다. 만약 트리에 양말 대신 버선이, 전구 대신 환한 연등이 달려 있다면 어떨까요? 아이들은 우리의 멋이 가득한 ‘투리’를 꾸밀 장식품들을 찾아 설레는 여정을 떠납니다. 언제나 곱고 신비한 물건이 가득한 만물상을 시작으로 다디단 냄새가 물씬 풍기는 생과방과 소망으로 가득 찬 산사를 함께 따라가 보세요. 올겨울, 가장 색다르고 가장 아름다운 크리스마스를 선물하는 그림책입니다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기",
10,유아,내 보물 ㅎㅎㅎ,375656608,9791169813969,77810,김지영 지음,사계절,20251110,16000,14400,800점,4870,유아,"책소개
‘글자 놀이’ 하면 떠오르는 대표 그림책
『내 마음 ㅅㅅㅎ』 『내 친구 ㅇㅅㅎ』 김지영 작가 후속작 출간

마음, 친구, 이번엔 가족!
보물을 둘러싼 남매의 웃음 가득 대모험

재미있는 글자 놀이로, 어린이의 다채로운 마음을 풀어낸 『내 마음 ㅅㅅㅎ』 복잡 미묘한 친구 관계와 학교생활을 그린 『내 친구 ㅇㅅㅎ』에 이은 신작이 2년 만에 출간되었습니다. 한글의 매력을 한껏 살린 콘셉트로 주목을 받으며, 첫 작품이 초등 2학년 1학기 국어활동 교과서에 수록되는 등 어린이부터 어른까지 큰 사랑을 받아 온 시리즈의 세 번째 작품입니다. 『내 보물 ㅎㅎㅎ』은 남매간의 우애와 가족의 소중함을, 웃음을 머금은 자음 ‘ㅎㅎㅎ’으로 그려 냅니다.

『내 보물 ㅎㅎㅎ』은 글자 놀이를 바탕으로 한층 업그레이드된 서사와 참신한 글자 변주를 통해 흥미를 자아냅니다. 특히, 익숙한 듯 낯선 얼굴의 새 주인공이 이야기를 여는 점이 가장 눈에 띕니다. 바로, 전작 속 주인공의 ‘동생’입니다. 『내 마음 ㅅㅅㅎ』에 빼꼼 등장했던 삐삐 머리 동생이 어엿한 주인공이 되어 상상의 세계로 우리를 이끕니다. 보물섬으로 분한 집과 상상이 더해진 배경에서 잃어버린 보물을 찾기 위한 해적과의 분투가 한바탕 펼쳐집니다. 그 과정에서 투닥임은 일상이요, ‘엄마의 아들’인 줄만 알았던 오빠와 뜻밖의 동행을 하게 되는데… 과연 이 모험의 끝은 어떻게 될까요?
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기",
