순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명),책소개,목차
1,장르소설,어스탐 경의 임사전언,376844276,9791170526643,3810,이영도 지음,황금가지,20251107,20000,18000,"1,000점",75290,소설/시/희곡,"책소개
MD 한마디
이영도 작가 7년 만의 신작 장편소설
한국 판타지의 거장 이영도 작가의 신작. 한 작가가 괴한의 습격으로 피살된 뒤, 기이하게도 죽지 않은 채 살해용의자를 밝힐 ‘임사전언’을 대하소설로 집필해 나가는 이야기. 작가 특유의 세계관과 미스터리 추리 요소가 탁월하게 구성됐다.
2025.11.14.
- 소설/시 PD 김유리
한국 판타지 문학의 전설, 이영도 작가 7년 만의 신작 장편소설 출간.

한국 단행본 출판 수출 역사를 뒤바꾸며 전 세계 17개 언어권 30여 개 나라에서 인기리에 출간되고 있는 『눈물을 마시는 새』의 저자, 이영도 작가의 신작 장편소설 『어스탐 경의 임사전언』이 황금가지에서 출간되었다. 2018년 출간된 장편소설 『오버 더 초이스』 이후 7년 만에 발표하는 신작으로써, 인기작가 어스탐 로우가 누군가에게 피살된 후, 신비하게도 죽음에 이르지 않은 채 4년 동안 자신의 살해용의자를 밝힐 '임사전언'을 대하 소설로 집필하면서 벌어지는 소동을 판타지에 미스터리 추리 요소를 가미하여 완성해 낸 32만자 분량의 장편소설이다. 이번 작품은 1997년 『드래곤 라자』로 등단한 이래 30년 가까운 시간 동안 쌓아온 소설가로서의 통찰이 빛나는 작품으로써, 작가와 독자의 관계, 창작자의 욕망과 재현의 윤리, 그리고 저작물의 검열에 이르기까지 문학 전반에 관한 묵직한 주제를 유머러스한 상상력과 흡인력 넘치는 전개로 풀어낸 야심작이다.

특히, 이번 신작은 이영도 월드에서 그간 만나지 못했던 새로운 장르적 시도를 선보이는데, 치밀하게 쌓아올린 '판타지' 세계관에 '추리'와 '미스터리' 요소를 녹여낸 것이다. 미스터리한 살인사건을 풀어나가는 기본 틀은, 제한된 공간에서 용의자를 좁혀 살인사건의 배후를 찾는 정통 밀실 추리소설의 전개를 그대로 밟는다. 하지만 여기에 판타지적 존재들과 작가의 기상천외한 상상력이 덧붙어 독자의 예상을 뛰어넘는 전개를 선보인다. 게다가 각 장 말미에는 소설 속 내용을 보완하거나 새로운 시각으로 바라볼 수 있게 마련된 짧은 희곡을 연달아 수록하여 기존 소설의 틀을 부수기도 하고, 간혹 고딕호러와 메타픽션까지 장르를 자유로이 넘나들기도 하는 등 신작 『어스탐 경의 임사전언』에서 이영도만의 독보적인 작품 세계를 구축해 보인다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기","목차
실제와는 좀 다를지도 모르는 막 #1 .34
실제와는 좀 다를지도 모르는 막 #2 .58
실제와는 좀 다를지도 모르는 막 #3 .81
실제와는 좀 다를지도 모르는 막 #4 .101
실제와는 좀 다를지도 모르는 막 #5 .103
실제와는 좀 다를지도 모르는 막 #6 .148
실제와는 좀 다를지도 모르는 막 #7 .174
실제와는 좀 다를지도 모르는 막 #8 .209
실제와는 좀 다를지도 모르는 막 #9 .256
실제와는 좀 다를지도 모르는 막 #10 .288
실제와는 좀 다를지도 모르는 막 #11 .330
실제와는 좀 다를지도 모르는 막 #12 .367
실제와는 좀 다를지도 모르는 막 #13 .474
실제와는 좀 다를지도 모르는 막 #14 .487
펼쳐보기"
2,장르소설,아무도 오지 않는 곳에서,374258051,9791193078709,3810,천선란 지음,허블,20251027,17000,15300,850점,67980,소설/시/희곡,"책소개
MD 한마디
가장 아름답고 강인한 좀비 아포칼립스
한국 SF를 대표하는 천선란의 신작. 작가가 오래 품어온 좀비 아포칼립스의 세계가 아름답고 섬세한 감각으로 펼쳐진다. 공포의 도구로 소비됐던 좀비를 인간이 끝내 버리지 못한 감정과 온기가 깃든, 인간보다 더 인간적인 존재로 그려냈다.
2025.10.14.
소설/시 PD 김유리
“마지막의 마지막까지 끝내 놓지 못하는 창백한 손의 의미를 곱씹으며 생각하게 되었다. 어째서 이토록 좀비는 지독하게 인간인가.”
- 백온유(소설가)

『천 개의 파랑』, 『이끼숲』, 『모우어』 천선란 신작 연작소설

2019년 『천 개의 파랑』으로 한국과학문학상 장편 대상을 수상한 이래, 천선란은 발표하는 작품마다 폭넓은 독자의 지지를 받아왔다. 그의 작품은 연극과 뮤지컬로 무대화되었고, 펭귄 랜덤하우스를 통해 영미권에 출간되었으며, 워너 브라더스 픽쳐스와의 영화화 계약까지 체결되었다. 이제는 세계가 주목하는 작가로 자리매김한 천선란. 그의 두 번째 연작소설 『아무도 오지 않는 곳에서』가 허블에서 출간되었다.

천선란은 그간 장편 『밤에 찾아오는 구원자』 『나인』, 소설집 『어떤 물질의 사랑』 『노랜드』 『모우어』, 연작 『이끼숲』, 중편 『랑과 나의 사막』 등을 통해 인간과 비인간, 상실과 생존, 구원과 돌봄의 윤리를 꾸준히 탐구해 왔다. 『아무도 오지 않는 곳에서』는 그 여정의 연장선에 있으며, 그가 오랫동안 사랑해 온 ‘좀비 아포칼립스’라는 무대 위에서 그 정서와 감각을 가장 극단까지 밀어붙인 작품이다.

이번 연작은 천선란이 데뷔 초 발표한 단편 「제 목소리가 들리십니까」(2019)와 「제 숨소리를 기억하십니까」(2020)의 세계관을 확장해 집필한 중편 「우리를 아십니까」(2025, 『토막 난 우주를 안고서』 수록)에서 비롯되었다. 「우리를 아십니까」를 토대로 기존 두 단편을 각각 전면적으로 확장·개고해 중편으로 다시 썼고, 이로써 6년에 걸쳐 3부작 서사가 완성되었다. 천선란은 이번 연작에서 좀비를 단순한 공포의 상징이 아니라 인간 존재의 가장 깊은 고독을 비추는 거울로 삼으며, ‘너를 살리는 방식으로 내가 사는 윤리’(정우주, 「상실의 자리로부터―천선란론」)에서 한발짝 더 나아간다.

세 편의 이야기는 각각 다른 시공간에서 좀비 아포칼립스를 마주한다. 1부는 감염과 붕괴의 초입에서 시작된 재앙이 이주 우주선으로 번지며, 무엇을 살리고 죽일지에 대한 선택의 순간을 그린다. 2부는 지구를 탈출하지 못한 사람들이 서로를 돌보며, 어떤 마음으로 살아야 생존을 넘어 삶을 이어갈 수 있는지를 보여준다. 3부는 인류가 사라진 지구에서 인간도 좀비도 아닌 존재들이 멸망 이후까지 사랑을 기억하고 지속하는 모습을 그린다. 세 편은 모두 ‘사랑하는 이를 끝내 놓지 못하는 마음’과 ‘너를 살리는 방식으로 내가 살겠다는 마음’으로 단단히 이어진다.

배우 박정민이 추천사에서 “천선란 자네는 대체 어떤 사랑을 해온 것이냐”고 물은 것처럼, 이번 연작은 사랑하는 이를 끝내 놓지 못하고, 서로를 잊지 않으려는 이들의 이야기를 그린다. 죽음과 상실을 끌어안은 채 살아가는 사람들, 그들의 손끝에 남은 온기가 천선란의 세계를 이룬다. 또한 소설가 백온유가 “어째서 이토록 좀비는 지독하게 인간인가”라고 평한 것처럼, 이번 작품은 ‘좀비’라는 존재를 통해 인간이 끝내 버리지 못하는 감정의 형태를 섬세하게 포착한다. 삶과 죽음, 인간과 좀비, 폐허와 낙원이 뒤섞인 세계 속에서 천선란은 멸망 이후에도 계속되는 사랑을 응시한다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기","목차
1부
제 목소리가 들리십니까
- 9

2부
제 숨소리를 기억하십니까
- 119

3부
우리를 아십니까
- 225

작가의 말
- 295
펼쳐보기"
3,장르소설,프로젝트 헤일메리,270454373,9788925588735,3840,"앤디 위어 지음, 강동혁 옮김",알에이치코리아(RHK),20210504,22000,19800,"1,100점",71109,소설/시/희곡,"책소개
MD 한마디
『마션』 작가가 선보이는 경이로운 우주 활극
『프로젝트 헤일메리』는 멸망 위기의 지구를 구하기 위해 돌아올 수 없는 우주 출장을 떠난 과학자의 이야기다. 우주 한복판, 편도 우주선 ‘헤일메리’에서 살아남은 것은 주인공 한 명 뿐! 설상가상 외계인까지 등장하는데, 인류의 운명을 짊어진 그는 무사히 임무를 완수할 수 있을까?
소설/시 PD 박형욱
“단언컨대 SF소설 중 최고의 책!”
2026년 영화 「프로젝트 헤일메리」 전 세계 개봉

전 세계 SF 팬들을 사로잡은 화제의 소설 『프로젝트 헤일메리』는 국내에서도 출간 후 4년간 꾸준히 사랑받으며 “과학과 우주를 사랑하는 사람들에게 짜릿한” 순간을 선사해 왔다. 치열한 판권 경쟁 끝에 MGM에서 제작하게 된 영화는 예고편 공개만으로 2000만 회가 넘는 조회 수가 입증하듯 이제 막바지 작업만을 남겨두고 있어 영화 애호가뿐만 아니라 이 책의 영상화를 간절히 바라온 독자들도 한껏 기대감을 안고 손꼽아 개봉일을 기다리고 있다. 이 시점에 예스 24 한정판 리커버판 라일랜드 그레이스와 로키의 여정에 탑승해 보는 것은 어떨까. 앤디 위어가 세 번째 장편소설을 쓰게 된 계기와 집필에 관한 짤막한 에피소드가 수록된 이번 에디션을 통해 다시금 우주 3부작의 묘미를 느낄 수 있을 것이다.

앤디 위어는 데뷔작 『마션』과 후속작 『아르테미스』가 연달아 대성공을 거두며 뉴욕 타임스와 아마존 베스트셀러에 이름을 올린 명실상부 최고의 SF 작가이다. 글을 쓸 때 과학적 사실을 조사하고 검증하는 것으로 정평이 난 작가의 작품인 만큼 흠잡을 데 없는 과학적 지식은 더할 나위 없다. 전작들에 이어 이번 작품에서도 작가의 장기인 과학을 기반으로 한 SF 세계관과 낙관적 감수성이 유감없이 그려졌다. 특히 작가가 치밀하게 구상한 ‘특별한 캐릭터’의 등장은 단연 『프로젝트 헤일메리』의 백미다. 소설은 그 특별한 캐릭터와의 공생과 연대 그리고 인류를 뛰어넘은 우정에 대한 이야기가 주를 이룬다. 지구를 구하기 위해서 정작 스스로는 지구로 돌아오지 못할 헤일메리호에 오른 ‘좋은 사람’인 주인공. 『마션』에서 한 인간을 구하기 위한 인류애를 보여줬다면 이번에는 전 인류를 구하기 위한 한 인간의 사명감과 애정이 한층 진하게 펼쳐진다. 앤디 위어의 세계는 더욱 깊어지고 넓어졌다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기","목차
01-10쪽
02-34쪽
03-54쪽
04-83쪽
05-112쪽
06-150쪽
07-180쪽
08-201쪽
09-227쪽
10-248쪽
11-271쪽
12-289쪽
13-311쪽
14-336쪽
15-362쪽
16-379쪽
17-400쪽
18-422쪽
19-445쪽
20-471쪽
21-494쪽
22-523쪽
23-550쪽
24-570쪽
25-590쪽
26-617쪽
27-632쪽
28-639쪽
29-652쪽
Vℓ-677쪽

감사의 말-686쪽
옮긴이의 말-688쪽
펼쳐보기"
4,장르소설,이영도 필사노트 vol.1,376844225,9791170526650,4810,"이영도 지음, 황금가지 편집부 엮음",황금가지,20251107,22000,19800,"1,100점",13550,소설/시/희곡,"책소개
한국 단행본 출판 수출 역사를 뒤바꾸며 전 세계 17개 언어권 30여 개 나라에서 인기리에 출간되고 있는 『눈물을 마시는 새』의 저자, 이영도 작가의 주요 글귀를 담은 필사노트가 황금가지에서 출간되었다. 총 3권으로 출간되는 이번 필사노트는, 1권 후회는 부정된 자신에의 그리움(폴라리스 랩소디, 티르 스트라이크 연작, 더스번 칼파랑과 사란디테 연작, 중단편소설들), 2권 나는 단수가 아니다(드래곤 라자, 퓨처워커, 그림자 자국 및 단편), 3권 셋이 하나를 상대한다(눈물을 마시는 새, 피를 마시는 새 및 단편)로 구성되어 있으며, 각기 200개 내외의 발췌글을 수록하였다. 또한 각 작품별 출판 진행까지의 과정 등 비하인드를 곁들인 편집자 노트를 추가하여 작품을 애정하는 독자들에게 읽는 즐거움을 함께 선사한다. 마지막 페이지에는 특수재질의 용지를 별도로 추가하여 잉크와 펜을 이용한 필사자를 위한 공간을 마련해 두었다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기","목차
이영도 작가의 필사노트를 시작하며 ... 6
더스번 칼파랑과 사란디테 연작 ... 9
티르 스트라이크 연작 ... 113
이영도 작가의 단편들 ... 201
폴라리스 랩소디 ... 243"
5,장르소설,인간 표본,375522100,9791170613237,3830,"미나토 가나에 지음, 김선영 옮김",북다,20251030,18800,16920,940점,14230,소설/시/희곡,"책소개
미스터리의 여왕, 새로운 각성으로 선보이는 궁극의 자신작
“작가로 살아온 15년 동안 가장 재미있는 작품을 써냈습니다.”
_미나토 가나에

2008년 『고백』으로 혜성처럼 데뷔해 주간문춘 미스터리 베스트 1위에 랭킹, 제6회 서점대상을 수상하며 일본 문학계를 뒤흔든 작가 미나토 가나에. 그가 데뷔 15주년을 맞아 쓴 기념비적인 신작 『인간 표본』이 북다에서 출간되었다. 나비 학자 사카키 시로가 다섯 명의 미소년을 살해하고 시신을 가공해 다양한 나비에 빗댄 ‘인간 표본’을 만들었다고 고백하는 수기로 시작되는 『인간 표본』. ‘나비의 시선’이라는 독특한 모티브와 미(美)를 향한 광기가 맞물리는 이 섬뜩하고 탐미적인 미스터리 소설의 집필 계기에 대해 작가는 일본 인터뷰에서 다음과 같이 밝혔다.

“『고백』 문고판 판매 300만 부 돌파 기념으로 열린 사인회에서 독자분들에게 다양한 요청을 받은 경험이 컸어요. 최근 제가 쓴 작품은 밝은 이야기가 많았는데, 많은 분이 ‘이야미스를 기다리고 있어요’라고 하셨거든요. 15주년을 맞이해 출발점으로 돌아간다는 의미도 있고, 오랜만에 인간의 어두운 면이나 마이너스 감정을 테마로 한 작품을 써보고 싶었어요.”

이처럼 작가는 독자들의 요청에 응답하여, 자신의 원점인 ‘이야미스(꺼림칙한 미스터리)’를 선보이겠다는 결심으로 『인간 표본』을 집필한 것이다. ‘살인자의 고백’이라는 전통적인 미스터리 연출을 바탕으로 작가는 그간 갈고 닦아온 내공을 유감없이 발휘한다. 이야기는 특유의 흡인력 넘치는 ‘화자가 교차하는 독백’으로 구성되어, ‘각기 다른 시선으로 바라보는 사건의 진상’을 거쳐 ‘마지막 순간에서야 밝혀지는 충격적 반전’을 통해 ‘씁쓸한 뒷맛을 남기는 결말’로 완성된다. 가히 ‘미나토 가나에표 이야미스’의 정수라고 할 만한 매력이 모두 담긴 결정체라고 할 수 있다. 인간 내면의 아집과 어둠을 치열하게 파헤치는 작가 미나토 가나에. 그가 “작가로 살아온 15년 동안 가장 재미있는 작품을 써냈습니다”라고 단언한 신작 『인간 표본』은, 『고백』을 읽고 전율을 느꼈던 독자라면 줄곧 기다려 왔을 바로 그 소설이다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기","목차
『인간 표본』 사카키 시로
SNS 발췌
여름방학 자유 탐구 「인간 표본」 2학년 B반 13번 사카키 이타루
독방에서
면회실에서
분석 결과

옮긴이의 말
주요 참고문헌"
6,장르소설,멜론은 어쩌다 (이옥토 멜론 책갈피 에디션),375536509,9791173323188,3810,아밀 지음,비채,20250911,17800,16020,890점,21835,소설/시/희곡,"책소개
“전혀 다른 세상이 펼쳐질 거야, 약속해.”

★박서련·이주혜 추천
★SF어워드 중·단편소설 부문 대상 수상 작가

2018 SF어워드 중·단편소설 부문 우수상, 2020 SF어워드 중·단편소설 부문 대상을 수상하며 특유의 신화적 상상력과 예리한 시선으로 한국문학의 새로운 가능성을 알린 아밀. 그의 두 번째 소설집 《멜론은 어쩌다》가 출간되었다.

현실과 맞닿아 있으면서도 한 발짝 옆으로 비켜선 예측불허한 세계를 그려내는 데 천착해온 만큼, 《멜론은 어쩌다》는 존재하리라곤 상상조차 해본 적 없는 독보적인 세계를 구축해낸다. 이성애자 인간과 레즈비언 뱀파이어 사이의 복잡 미묘한 우정을 담아낸 〈나의 레즈비언 뱀파이어 친구〉, 첫사랑의 상처를 극복하기 위해 섹스 로봇을 집에 들인 부치의 일상을 기록한 〈어느 부치의 섹스 로봇 사용기〉, 가늘고 길게 살고 싶을 뿐 별다른 야심 없는 마녀가 위험한 의뢰에 휘말리며 발생하는 사건을 다룬 〈인형 눈알 붙이기〉 등 재기 발랄한 여덟 편의 이야기가 담겨 있다.

엉뚱하면서도 독특한 인물들의 활약이 눈길을 사로잡는 가운데 더욱 경쾌하고 능청스러워진 서사가 빛난다. 박서련 작가의 말처럼, “갓 씻어낸 제철 과일처럼 신선한 상상력과 곧 그 껍질을 저며낼 칼처럼 예리한 시선이 공존하는 이야기” 사이를 유영하다 보면 오래도록 기다려온 “마녀의 소설”의 탄생에 함께 축배를 들게 될 것이다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기","목차
나의 레즈비언 뱀파이어 친구 … 7
어느 부치의 섹스 로봇 사용기 … 43
아이돌 하려고 태어난 애 … 79
노 어덜트 헤븐 … 109
성별을 뛰어넘은 사랑 … 149
넘을 수 없는 사차원의 벽 … 177
인형 눈알 붙이기 … 211
야간 산책 … 249

작가의 말 … 327"
7,장르소설,비밀 속의 비밀 1,377154795,9791173830235,4840,"댄 브라운 지음, 공보경 옮김",문학수첩,20251127,16800,15120,840점,18490,소설/시/희곡,"책소개
‘지적 스릴러 거장’, 댄 브라운이 8년 만에 내놓는 최고의 복귀작
출간과 동시에 [아마존], [뉴욕타임스] 베스트셀러 등극
초판 150만 부 발매, 16개국 판권 계약

‘지적 스릴러의 거장’이라 불리는 세계적 베스트셀러 작가 댄 브라운의 소설 《비밀의 비밀》이 문학수첩에서 출간된다. 댄 브라운은 하버드 대학교의 기호학자 로버트 랭던이 주인공으로 등장하는 《다빈치 코드》의 저자로, 《오리진》, 《인페르노》, 《천사와 악마》, 《디솁션 포인트》, 《디지털 포트리스》 등 수많은 베스트셀러 작품을 집필했다.

《비밀 속의 비밀》은 지금까지 댄 브라운이 발표한 소설 중에서도 구성이 가장 밀도 높고, 사건 전개가 치밀한 작품이다. 출간 직후 작가는 “지금까지 내가 쓴 소설 중 가장 플롯이 정교하고, 가장 가독성이 있는 작품이 아닐까 생각합니다. 이 소설을 집필하는 과정은 잊을 수 없는 발견의 여정이기도 했습니다”고 소회를 밝혔다. 작가 스스로 자신감 넘치게 단언할 정도로 이 소설은 스릴 넘치고, 스피디한 사건과 반전이 가득하며, 마지막 페이지를 덮고 나서도 진한 여운을 남기는 걸작이다.

출간 이전부터 전 세계 출판시장의 관심을 받았던 《비밀 속의 비밀(The Secret of Secrets)》은 현재 영국, 미국, 프랑스, 독일을 비롯해 전 세계 16개국의 출판사와 출판 계약을 맺었다. 댄 브라운 특유의 독창적인 스토리와 고급 추리를 기대하는 독자들에게 이 소설은 더할 수 없는 만족과 지적 유희를 선사할 것이다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기","목차
프롤로그, 1~70"
8,장르소설,가공범,367868003,9791170612759,3830,"히가시노 게이고 지음, 김선영 옮김",북다,20250721,22000,19800,"1,100점",82698,소설/시/희곡,"책소개
MD 한마디
1히가시노 게이고 데뷔 40주년, 새로운 시리즈의 시작
일본 미스터리를 대표하는 히가시노 게이고가 새로운 시리즈로 돌아왔다. 『백조와 박쥐』 속 고다이 형사를 주인공으로 예측 불가능한 살인사건을 정면돌파한다. 주변을 수색하는 가운데, 범인의 협박 편지가 도착하며 사건은 한층 어려워진다. 성실한 작가를 닮은, 주인공은 미스터리를 해결할 수 있을까?
2025.07.25.
소설/시 PD 김유리
히가시노 게이고 작가 데뷔 40주년!

진실을 찾는 눈, 진심을 향한 걸음
고다이 쓰토무가 시작하는 새로운 시리즈

“이 소재를 작품으로 쓸 날은
오지 않을 거라고 생각했습니다.”
- 히가시노 게이고

‘오늘의 일본을 대표하는 작가’이자 일본 내 ‘단행본 판매 누계 1억 부’ 돌파라는 전대미문의 쾌거를 거둔 히가시노 게이고의 장편소설 『가공범』이 종합 출판 브랜드 북다에서 출간되었다. 1985년 데뷔하여 2025년 작가 데뷔 40주년을 맞이한 그는 『백조와 박쥐』에 한차례 등장한 고다이 쓰토무를 주인공으로 내세움으로써 새로운 시리즈의 시작을 알렸다. 고다이는 예리한 관찰안과 부지런한 발을 지닌 인물로 기존에 작가가 그려 온 천재형 탐정 캐릭터들과는 차이가 있다. 유능함보다는 성실함이 큰 장점인데 긴 시간 묵묵히 미스터리 장르에 헌신해 온 히가시노 게이고와 가장 닮았다.

불에 탄 저택에서 유명 정치인과 전직 배우 부부의 시체가 발견된다. 화려한 삶을 살아온 이들에게 무슨 일이 벌어진 걸까? 두 사람은 무슨 비밀을 끌어안고 있는 것일까? 고다이 형사는 좀처럼 풀리지 않는 사건의 실마리를 풀기 위해 일본 전역을 동분서주 돌아다닌다. 이 과정에서 그가 느낀 사소한 의심이 쌓여 마침내 사건이 품고 있던 엄청난 비밀이 밝혀진다. 천재 캐릭터나 기상천외한 범죄 없이도 여러 번 숨을 멎게 하는 히가시노 게이고의 매력이 더욱 빛을 발하는 작품이다. 『가공범』은 일본 출간 후 이례적으로 빠른 증쇄와 2024년 베스트 미스터리 선정, 2025년 일본미스터리문학 대상 수상, 일본 최대 서점 체인 기노쿠니야·출판 유통사 토한 종합 1위 등의 성과를 거두며 히가시노 매직이 더욱 강력해졌음을 증명해 냈다. 과거의 열정과 현재의 명성에 안주하지 않는, 히가시노 게이고의 작가 인생 40년이 담겼다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기",
9,장르소설,양면의 조개껍데기,370247727,9791168343108,3810,김초엽 지음,래빗홀,20250827,17500,15750,870점,73180,소설/시/희곡,"책소개
MD 한마디
타인과 세계에 관한 김초엽의 빛나는 탐구
한국 SF의 대표 작가 김초엽이 신작 소설집으로 돌아왔다. 인간성의 본질을 다각도로 탐구하는 7편의 중단편은 각기 다른 빛깔로 단단하고 따뜻하게 빛난다. 누구보다 낯선 세계를 그려내면서도, 그 너머의 존재들을 이해하려는 이 젊은 작가의 초대장은 우리에게 깊은 위로가 되어줄 것이다.
2025.08.29.
소설/시 PD 김유리
“더 기다릴 수가 없었어요.
지금 당신을 만나러 와야 했어요.”

김보영 배명훈 이다혜 정보라 정소연 추천

반짝이는 슬픔, 경계 없는 사랑을 발견하는
김초엽 4년 만의 세 번째 소설집

경계 밖을 이해하고자 갈망하고, 마음을 잘 전달하고 싶어서 고군분투하는 한계가 우리가 지닌 희미한 빛이자 가능성이기도 하지 않을까요. 여기 담긴 소설들은 그 한계와 가능성을 여러 각도에서 바라보려고 애쓴 이야기라고 할 수 있을 것 같아요. (김초엽 인터뷰 중에서)

2010년대 한국 SF의 새 역사를 썼다고 평가받는 작가 김초엽이 데뷔 8년 차를 맞는 2025년 여름 신작 소설집 《양면의 조개껍데기》로 우리를 찾아왔다. ‘매번 완전히 다른 이야기인데 친숙하게 황홀한 맛’이라는 어느 독자의 말처럼, 김초엽은 소설적 실험을 꾸준히 감행하면서도 성실한 자료 조사와 더불어 인간과 관계에 대한 깊은 사유를 담아내는 완성도 높은 이야기를 통해 우리에게 실패하지 않는 독서 경험을 선사해왔다.

이번 책에는 인간성의 본질에 관해 다각적으로 질문을 던지는 총 7편의 중단편소설이 담겼다. “인간의 재료가 달라진다면 인간과 세계의 상호작용도 바뀌지 않을까?”라는 도발적인 질문과 함께 욕망과 의지의 문제를 다루는 〈수브다니의 여름휴가〉, 한 몸에 존재하는 두 인격체가 한 사람을 사랑하게 되면서 벌어지는 갈등을 보여주는 〈양면의 조개껍데기〉는 사회의 ‘정상성’ 규범 밖에 존재했던 정체성을 있는 그대로 이해하고 수용하게 되는 과정을 담는다. ‘탐색 연작’이라고 불릴 만한 〈고요와 소란〉 〈달고 미지근한 슬픔〉 〈비구름을 따라서〉는 SF에서 익숙하게 볼 수 있는 고차원적 존재, 서버로 이주한 인류, 평행 세계 등을 다루면서도 인간이 가지고 있는 주관적 해석의 한계나, 기존의 방식으로 설명할 수 없는 자아 형식, 얽힘으로써 고정되는 존재 등 여러 시각이 중첩된 문제들을 탐구하여 소설의 깊이와 재미를 더한다. 촉각으로 메시지를 전하는 문명을 다룬 〈진동새와 손편지〉, “한 번은 돌아와야 한다. 알겠지? 그래야 다시 나아갈 수도 있다”라는 할머니의 당부 아래 길 잃은 고래와 도시로 떠났던 청년의 귀향이 겹쳐지는 〈소금물 주파수〉 또한 흥미로운 전개 끝에 눈물의 펀치라인이 준비되어 있는 작품들이다.

인간을 정의하는 방식을 시대에 따라 변화하지만, 작가는 “우리가 스스로 부여하고 싶은 고유성, 끝내 붙들고 싶은 어떤 소중한 가치가 있다면 그건 오히려 인간이 가지고 있는 근원적 한계에 있을 것 같”다는 이야기를 남긴다. 항상 엇갈리면서도, 불완전한 대화 끝에 오해하고 돌아서더라도, 끝까지 놓지 않는 작은 믿음이 김초엽의 소설에 남아 있다. 언제나처럼, 아주 작은 가능성의 빛으로.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기","목차
수브다니의 여름휴가
양면의 조개껍데기
진동새와 손편지
소금물 주파수
고요와 소란
달고 미지근한 슬픔
비구름을 따라서

작가의 말 | 추천의 말"
10,장르소설,신 게임,375684650,9791191803525,3830,"마야 유타카 지음, 김은모 옮김",내친구의서재,20251205,16800,15120,840점,11140,소설/시/희곡,"책소개
불온한 추리, 독자의 도덕마저 시험하는 결말…
20년째 회자되는 전설의 문제작, 드디어 한국 초역!

‘본격미스터리대상’을 두 차례 수상하고 〈본격미스터리 베스트10〉 1위에 네 차례나 오르며 미스터리계의 정점에 선 작가 마야 유타카. 논리와 파괴, 순수와 악의(惡意), 유희와 냉혹함을 병치시키며 ‘문제적 미스터리의 거장’으로 불리는 그의 대표작 중에서도 가장 강렬한 문제작 《신 게임》 한국어판이 드디어 출간된다. 작은 마을을 뒤흔든 연쇄 고양이 학살사건. 주인공 요시오와 친구들이 탐정단을 꾸려 범인 추적에 나서며 이야기는 시작된다. 전학생 스즈키가 자신을 ‘신(神)’이라 밝히며 단번에 범인의 이름을 지목하면서 사건은 예측 불가능한 방향으로 전개되는데…. ‘신은 언제나 옳은가?’ 그 질문의 끝에서 드러나는 진실은 독자의 도덕 감각마저 송두리째 뒤흔든다. ‘후더닛(whodunit)’과 ‘와이더닛(whydunit)’을 넘나드는 정통 미스터리이자 경계를 무너뜨리는 안티 미스터리이며, 20년이 지난 지금도 미스터리 커뮤니티에서 끊임없이 해석되고 논의되는 《신 게임》은 2025년 〈본격미스터리 베스트10〉 ‘사반세기 베스트’ 12위에 오르며 그 충격이 여전히 현재진행형임을 증명했다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기","목차
생일 - 005
신 - 019
범인 - 043
천벌 - 083
히데키 - 105
죽음 - 139
히데키 - 161
천벌 - 187
범인 - 201
신 - 221
생일 - 235

옮긴이의 말 - 247"
