순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명),책소개,목차
1,종교/역학,탁! 깨달음의 대화,378047231,9791187297925,3810,"법륜 지음, 한차연 그림",정토출판,20251120,17000,15300,850점,34670,에세이,"책소개
어떤 질문이든 가장 짧고 정확한 답을 들려주는 법륜 스님의 즉문즉설.

그 수많은 대화 중에서도 마음의 핵심을 찌르는 문장들을 모아 선문답 형식으로 더 간결하게, 더 명료하게 재구성한 책이 나왔다. 『탁! 깨달음의 대화』는 복잡한 마음을 단번에 ‘탁!’ 하고 멈추게 하는 단문 중심의 대화집이다. 길게 설명하지 않아도 되는 지혜, 지금 흔들리는 마음에 바로 적용되는 현실적인 조언, 그리고 읽자마자 행동으로 이어지는 힘을 담았다.

많은 사람들이 자신의 괴로움을 말하고 그 해결 방법을 스님에게 질문하지만 스님은 단호하게 말씀하신다: “즉문즉설은 지금 여기에서 즉시 괴로움에서 벗어나기 위한 깨달음의 대화입니다. …괴로운 삶에서 벗어나 행복하게 살기 위해 사람들은 질문을 합니다. 그러나 그 길은 질문하는 사람 자신에게 있습니다. 그래서 저는 질문하는 사람들에게 도로 질문을 합니다. 대화를 하다 보면 질문자가 어느 순간에 ‘별일 아니네. 이렇게 하면 되겠네.’ 하면서 스스로 자신의 괴로움에서 벗어나는 길을 찾게 됩니다. 우리가 살아가면서 겪는 일들이 별일 아님을 알 때 괴로울 일이 없다는 것을 깨닫게 됩니다.”

괴로움이 없는 행복한 삶의 길은 이미 우리에게 주어져 있는데 다만 우리가 그 길을 미처 깨닫지 못하고 있음을 일깨워 주는 법륜스님의 ‘즉문즉설’ 사례들이 이 책 안에 가득 들어있다. 부처님의 ‘수기설법(隨機設法)’처럼 법륜스님은 질문자의 질문에 따라 쉽고 명료한 비유를 들어 질문자의 괴로움이 결코 해결할 수 없는 특별한 괴로움이 아니라 살면서 그럴 수도 있음을 질문자 스스로 인식할 수 있도록 대화를 이어간다. 이 책 속에 나오는 짧지만 그러나 심오한 여러 대화를 읽어가면서 독자들도 또한 괴로움의 실체가 ‘아하 그렇구나’ 무릎을 탁! 치고 깨닫는 기쁨을 함께 경험할 수 있을 것이다.

정토회의 [수행문]에서 ‘모든 괴로움과 얽매임은 잘 살펴보면 다 내 마음이 일으킨다. 그러나 어리석은 사람들은 이 괴로움과 얽매임이 밖으로부터 오는 줄 착각하고 이곳저곳 이 사람 저 사람을 찾아다니며 행복과 자유를 구하지만 끝내 얻지 못한다. …언제 어디에서 일어난 어떤 괴로움일지라도 안으로 살펴보면 그 모든 괴로움의 뿌리가 다 마음 가운데 있고 그 마음의 실체가 본래 공한 줄 알면 모든 괴로움과 얽매임은 즉시 사라진다.’라고 말한다. 우리가 겪는 삶의 괴로움이란 다만 마음이 일으킨 공한 것임을 이 책은 다시 한번 깨닫게 하여 괴로움이 없는 행복한 삶의 해답을 우리 스스로 발견하게 해준다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기","목차
여는 글_ 깨달음이란 무엇인가

1장_ 이대로의 나, 괜찮습니다

열등 / 왜 사는가 / 지금 / 임신 / 잘하는 게 없어요 / 눈치 / 영화는 이미 끝났다
꿈 / 만족 / 삶과 죽음 / 일상 / 소처럼 / 선택 / 반려견 / 콩과 팥 / 기도문
속도 / 밥투정 / 산삼 / 양자택일 / 놀이 / 꿈 / 자신감 / 정체성 / 인공지능
실패 / 장애 / 진로 / 신발 정리 / 공부 / 특별한 날 / 물

2장_ 일어나는 마음, 들여다봅니다

한쪽 눈 / 날씨 / 보름달 / 지금 즉시 / 텅 빈 마음 / 이혼 / 도박 / 시누이
독재자 / 실연 / 불안함 / 게임 / 그래도 / 팀장 / 술 / 가면 / 화 / 질투
기대 / 꽃구경 / 뜨거운 구슬 / 돌멩이 / 죽은 개 / 사자 / 밥값 / 거름 / 억울
나무 그늘 / 공덕 / 등산 /



가게 주인 / 부부싸움 / 천국과 지옥 / 100퍼센트 / 밤송이 / 식당 운영 / 씨앗
부자 남편 / 공양물 / 연애 / 소통 / 등산 장비 / 중매결혼 / 빈손 / 트라우마
고집 / 아이들 싸움 / 자유인 / 쓰레기 봉지 / 장작불 / 좋은 사람 / 훈계
식물원의 꽃 / 똥 묻은 개 / 민원인 / 반복 / 흑암천黑闇天 / 결혼 상대 / 미끼
대인관계 / 직장 생활 / 하숙집 주인 / 기둥 나무



번뇌 / 욕심과 원 / 부처님 마음 / 장사 / 기도 / 수행 / 모순 / 집착 / 분별심
고집과 주관 / 선연善緣 / 빈 그릇 / 내가 먼저 / 배려 / 붕어빵 / 고추 농사
욕심 / 참선 / 깨달음에 걸리는 시간 / 우월의식 / 윤회 / 악몽 / 참회
밥 먹듯이 / 꽃을 좋아하면 / 중도中道 / 시비심 / 출가 / 심우尋牛

닫는 글_ 질문 속에 답이 있습니다
펼쳐보기"
2,종교/역학,운명을 보는 기술,374809232,9791169851626,3180,박성준 지음,페이지2(page2),20251031,18800,16920,940점,15375,자기계발,"책소개
“세상은 보이지 않는 힘으로 움직인다.
운(運)을 읽어라. 인생이 쉬워진다.”

2300년 전부터 전해져 내려온
인생을 좋은 기운으로 채우는 법

★★★★ 누적 조회수 7천만 회
★★★★ 방송 섭외 1순위, 화제의 역술가
★★★★ 「무한도전」 「런닝맨」 「놀면 뭐하니」 「신들린 연애」에 출연한 바로 그 관상가!

“모르는 사람은 대운을 흘려보내고,
아는 사람만이 단단히 붙잡는다.”

국내 1위 역술가 박상준이 알려주는
사주, 관상, 풍수의 모든 것

세상은 눈에 보이지 않는 힘으로 움직인다. 많은 성공한 인물들이 “운이 좋았다”라고 말하는 것은 단순한 겸손이 아니다. 2300년 전부터 사람들은 그 힘을 이해하고 해석하려 노력해 왔고, 그 지혜는 ‘사주’, ‘관상’, ‘풍수’라는 실질적인 기술로 발전했다. 이 세 가지는 인생의 흐름을 읽고, 운명을 바꾸는 가장 오래되고 정확한 방법이다. 사주로 나의 기질을 이해하고, 관상으로 마음을 단련하며, 풍수로 공간의 기운을 조율하면 인생의 방향이 달라진다.

저자 박성준은 30년 넘게 역술을 연구해 온 국내 최고 전문가다. 유튜브 누적 조회수 7천만 회를 기록하며, MBC 「무한도전」, 「놀면 뭐하니」, SBS 「런닝맨」, 「미운 우리 새끼」 등 주요 방송 자문을 맡아 대중에게 신뢰를 얻었다. 또한 삼성, 한화, IBM, 아모레퍼시픽 등 대기업에서 강연하며 사주, 관상, 풍수를 현대적으로 해석하는 실용적 관점을 전파하고 있다.

그는 “좋은 운명은 타고나는 것이 아니라 스스로 만들어가는 것”이라 강조한다. 운은 누구에게나 주어지지만, 그 흐름을 읽고 활용할 줄 아는 사람만이 진정한 행운의 주인공이 된다. 『운명을 보는 기술』은 오랜 세월 검증된 동양의 지혜를 현대인의 삶에 맞게 풀어낸 안내서로, ‘운’이라는 거대한 흐름 속에서 자신의 길을 주체적으로 설계하고자 하는 이들에게 실질적인 통찰을 제공한다.

당신은 지금 어떤 흐름에 올라타 있는가? 어떤 운명을 향해 가고 있는가?
당신의 운명을 읽어라. 그 순간 당신의 인생 지도는 전혀 다른 길로 펼쳐질 것이다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기","목차
서문
눈에 보이지 않는 신호가 있다

一. 「사주팔자」
나를 알면 행운이 온다

운이 좋아질 때 나타나는 변화와 신호 | 세운과 대운
운을 없애는 사람 | 그릇
균형을 맞춰야 운이 트인다 | 팔자와 오행
운은 ‘나’를 통해 들어온다 | 생년월일시
타고난 천성을 알아보는 법 1 | 일간
타고난 천성을 알아보는 법 2 | 상생과 상극
타고난 천성을 알아보는 법 3 | 십성
사랑받고 싶다면 지갑을 선물하라 | 재
자유로운 영혼이 갖지 못하는 것 | 관




첫인상이 제일 중요하다 | 8가지 상
너와 나의 미래가 보인다 | 얼굴 궁합
몸이 천 냥이면 눈이 구백 냥이다 | 눈 크기
출세운이 있는 얼굴 | 관록궁
재물운이 넘치는 얼굴 | 재백궁
사기꾼은 눈빛부터 다르다 | 악상·삼백안·빈상
바람둥이 상은 따로 있다 | 도화안
결혼을 늦게 하는 얼굴 | 코·관골
악질형 인간 피하는 법 | 격
위선자는 평생 피해를 준다 | 비루함
멍청한 사람도 일단 피하고 보자 | 바보상
수술, 시술 받으면 인생이 바뀔까? | 명궁
스스로 운을 깎아 먹는 사람 | 빈천상
울림이 있고 맑은 목소리로 대화하라 | 음성




표정이 전부가 아니다 | 이면
엎질러진 물은 흘려보내라 | 과거
오해와 진실, 그리고 진심 | 인연
처음에 최선을 다하라 | 마음의 관성
잃을 것이 없어진다 | 방향
사람이 곧 운명의 문이다 | 인간관계
내면에 귀를 기울이는 동양철학 | 관상




전조를 알면 시간과 돈을 아낀다 | 징조
나쁜 운을 피하는 방법 | 아홉수
처음에 사랑하지 않은 것을 사랑하지 말라 | 찰나의 감정
오래도록 사랑하는 부부의 비밀 | 오감
진상은 일단 피한다 | 사람 운
행복은 늘 현재에 있다 | 나다운 일
성급하면 바닥으로 떨어진다 | 인정의 힘
남을 살피는 것이 나를 위하는 것이다 | 이타심




부자 동네가 산 중턱에 만들어지는 이유 | 발복
바람을 소홀히 하면 건강을 잃는다 | 풍파
물은 곧 재물이다 | 장풍득수
잔잔하게 굽이치고 터를 감싸고 흐르는 곳 | W·S모양
풍수가 좋은 자리 | 재물복
원룸도 가능한 풍수 인테리어 | 공간 에너지
간절한 소원이 있다면 관악산에 올라라 | 기도 명당
펼쳐보기"
3,종교/역학,초역 부처의 말,339737027,9791193506516,3100,"코이케 류노스케 지음, 박재현 옮김",포레스트북스,20240530,17800,16020,890점,144445,인문학,"책소개
“나는 부처에게서 인생의 해답을 찾았다.”_쇼펜하우어
현대어로 재해석된 부처의 말

인내심을 가져라.
모든 것은 적당한 때에
결국, 네게 올 테니.

언젠가 너는
네가 있어야 할 곳에서
너와 함께할 운명인 사람과
네가 해야 할 일을 하며
살게 될 것이다.
--- 「부처」

2500년 동안 사람들에게 사랑받으며 회자되어 온 부처의 말을 코이케 류노스케 스님이 현대어로 재해석해 책으로 출간했다. 간결하게 축약된 핵심만을 담은 부처의 메시지는, 마음이 약해지고 어려움에 처한 사람들에게 힘과 용기를 불어넣어 준다. 부처의 말이 간결하듯 이 책의 기획 의도 역시 매우 단순하다. 저자는 서문에 독자들이 이 책을 손에 들고 어디를 펼치더라도 그곳에 적힌 부처의 말이 스르륵 마음을 물들이고, 어느 순간 그 속에서 기분 좋은 바람이 일어나 더 좋은 방향으로 이끌어 주길 바란다고 썼다.

독일의 철학자인 쇼펜하우어는 동양의 철학에 깊이 매혹되었던 철학자이다. 그는 젊은 시절부터 동양 철학을 읽는 것에 집중했고 부처의 말들에서 인생의 해답을 찾을 수 있다고 말했다. 세계적인 배우 키아누 리브스 역시, 부처의 가르침을 되새기며 생활하는 것으로 유명하다. 부처의 말은 그가 커다란 시련에 직면할 때마다 큰 힘이 됐다. 12개의 주제로 묶인 190가지 부처의 말을 담은 이 책은 복잡한 세상살이에 지친 현대인을 위로하는 동시에 꼭 필요한 삶의 지혜를 전해 준다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기","목차
들어가는 글

1부 감정에 휘둘리지 않는다
2부 비교하지 않는다
3부 바라지 않는다
4부 선한 업을 쌓는다
5부 친구를 선택한다
6부 행복을 안다
7부 자신을 안다
8부 몸을 바라본다
9부 자유로워진다
10부 자비를 배운다
11부 깨닫는다
12부 죽음과 마주한다

부처의 삶을 돌아보며
저자의 말
펼쳐보기"
4,종교/역학,열두 번의 음성과 열세 번의 환상,378050992,9791158863517,3230,손현보 지음,킹덤북스,20251120,18000,16200,900점,18700,종교/역학,"책소개
이것은 청소년들에게도 하나님께서 어떤 큰 역사를 이루실 수 있음을 알려주기 위하여 기록했다. 이 책은 연대기적으로 기록되었다. 감옥이라 자료가 없어서 정확한 년도와 날짜를 알 수가 없기에 대략적으로 기술했다. 지난번 『목사님 전도가 너무 쉬워요』 책 판매 수익금 전액이 노인들 백내장과 눈에 관한 수술 비용으로 쓰여졌는데 9천여 명이 무료로 수술을 받았다. 이번에 출간되는 이 책의 판매 수익금 전액은 청소년들을 위하여 사용될 것이다. 하나님은 누구나 쓰신다. 그것은 하나님의 은혜요, 긍휼이다. 부산 주례 구치소에서 추석 연휴 5일 동안 하나님께서 기도에 응답하신 사건을 기록하였는데 이 책을 통하여 오직 하나님께만 영광을 돌리고 싶다!
- 저자의 말 중에서
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기","목차
들어가는 말 07

01. 바위에 깔려 죽음 앞에서 하나님을 고백하다 12
02. 하나님께서 직접 깨워주셨다 21
03. 날마다 기적! 아 이런 것이 믿음이구나! 26
04. 믿음은 일상을 기적으로 만든다 32
05. 날씨도 하나님의 손에 있다 34
06. 중단된 교회 건축 때 일어난 환상과 기적 37
07. 고등학교 자퇴와 복학의 기적 40
08. 주일날 졸업 여행과 기적 45
09. 네 앞서 내 사자를 보내어 너를 인도할 것이다 47
10. 수박 장사, 생명을 살리다 49
11. 미래를 들려주시는 하나님 55
12. 지옥 환상 - 목회를 꿈꾸며 62
13. 절에서 신학대학을 다니다 72
14. 20살짜리 전도사 85
15. 전 교인 100% 새벽 기도에 출석하다 90
16. 예배 시간에 끌려 나가는 여학생, 아내가 되다 92
17. 전 부대를 저에게 주십시오 95
18. 701 특공대 - 죽음도 두렵지 않았다 98
19. 1월 1일 새벽에 부대장 관사를 찾아가 전도하다 112
20. 최초의 육군 병사 도서관! 하루 만에 4천 권의 책을 모으다 117
21. 10만 원으로, 5일 만에 결혼 124
22. 사례만으로 살기로 아내와 약속하다 130
23. 교회를 옮겨라 134
24. 병원에서의 기적 ­ 3만 원의 기적 140
25. 세계로교회 부임 - 역사가 시작되다 142
26. 전도 목표 100명과 영적 전투 145
27. 서원 - 내 평생에 어떤 예배를 드려도 사례나 차비를 받지 않겠습니다 150
28. 윤 장로는 내가 보낸 너의 조교다 153
29. 천국 환상, 여기가 거룩한 새 예루살렘이다 159
30. 국회 의사당만 한 교회 164
31. 5000평을 사다니? 172
32. 시골 교회에서 5500명 들어가는 교회로 179
33. 코로나19와 20번의 고소 고발 182
34. 기적의 비전 센터 - 다음 세대를 위하여 192
35. 비전 센터가 학교로 바뀌는 기적 201
36. 모든 태풍이 비켜가고 205
37. 학교를 위하여 모든 것을 준비하신 하나님 208
38. 10.27 차별금지법 반대 200만 국가 기도회 214
39. 각 총회에서 결의, 한국 교회 역사상 한 번도 없었던 일 226
40. 전국 각지 교회를 돌며 호소하다 229
41. 광화문에서 서울역, 그리고 여의도 100만과 유튜브 140만의 기적 235
42. 특새 때 임한 불 244
43. 계엄과 탄핵 247
44. 탄핵과 사법 절차에 대한 의문 249
45. 세이브 코리아 254
46. 교육감 보궐 선거, 그리고 구속 264
47. 의인 한 명이 없어서 망했던 예루살렘 267
48. 교회와 정치에 대한 논란 270
49. 정치와 종교는 분리될 수가 없다 275
펼쳐보기"
5,종교/역학,그리스도가 만드신 차이,374960067,9788953151741,3230,"스탠리 하우어워스 지음, 이지혜 옮김",두란노,20251022,14000,12600,700점,9630,종교/역학,"책소개
「타임」(Time)지 선정 “미국 최고의 신학자”
스탠리 하우어워스가 증언하는
오늘날 예수를 따르는 삶의 경이로움과 그 무게

“우리 시대 최고의 기독교적 지성.”
로완 윌리엄스 _前 캔터베리 대주교

이 책은 세계적인 신학자이자 윤리학자인 스탠리 하우어워스의 방대한 저작 중 ‘그리스도를 따르는 제자도’와 관련한 핵심 내용을 엄선해 엮은 것이다. 단순 발췌가 아니라, 이 책을 위해 저자가 직접 글 전체를 새롭게 다듬었다. 지난 수십 년간, 하우어워스는 예수님을 따르겠다는 선택은 개인적 차원에서 사회적 차원에 이르기까지 삶의 모든 영역에 결정적인 차이를 가져온다고 일관되게 주장해 왔다. 그는 이 책에서 오늘날의 ‘탈기독교 세계’(After Christendom)를 예리하게 진단하고, 그리스도인들이 더 이상 문화적·정치적 중심에 있지 않다는 현실을 비극으로 여기며 한탄하는 데에 그쳐서는 안 된다고 말한다. 오히려 주변부로 밀려난 바로 이 상황이 우리가 예수님이 마련하신 대안적 삶의 방식을 받아들일 수 있는 최적의 기회임을 역설한다. 오늘, 이 혼란한 세상에서 예수를 ‘그리스도’로 고백하며 살아가는 이들에게 이 책은 새로운 질서를 선포하는 예언자적 목소리가 되어 줄 것이다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기","목차
티시 해리슨 워런의 서문 _탈기독교 시대에 울려 퍼지는 예언자적 목소리
엮은이의 글 _스탠리 하우어워스 읽기

Part 1. 예수님을 따른다는 것
- 새로운 눈과 귀가 필요한 오늘의 제자도

01. 변혁적인 하나님의 역사 속으로
02. 때로는 풍랑 속에서 물 위를 걷는 일
03. 예수님이 곧 하나님 나라
04. 그리스도 이야기에 동참하기
05. 인간적 사랑만으로는 부족한 길

Part 2. 하나님 나라의 복음
- 그리스도 안에서 우리에게 열린 새로운 질서

06. 하나님이 가능케 하시는 불가능한 일
07. 팔복, 하나님 나라의 삶을 보여 주는 약속
08. 이미 우리 가운데 임하신 ‘온전함’을 바라볼 때
09. 기존 질서를 뒤엎는 하나님 나라의 의




10. 교회, 하나님의 새 언어
11. 진실하게 말하며, 진실하게 살아가며
12. 자선을 실천하는 공동체
13. 교회 안에서 다시 태어나는 가정




14. 부와 부자에 대한 성경적 시각
15. 불의하고 불공정한 현실 속에서
16. 이웃의 필요에 대한 우리의 책임
17. 가난한 이들과 함께하는 교회




18. 거짓 평화를 깨는 용기
19. 칼 대신 십자가를 지니고
20. 비폭력의 길, 위험이 따르는 모험
21. 상상력의 해방, 전쟁 없는 세상




22. 교회의 첫 번째 과제, 교회가 되는 것
23. 세속 정치 질서를 뛰어넘는 예수의 왕권
24. 탈기독교 세계에서의 기독교 정치
25. 그리스도가 만드신 차이

출처
참고 문헌
펼쳐보기"
6,종교/역학,영적 전쟁,375710034,9791165046668,3230,손기철 지음,규장(규장문화사),20251107,25000,22500,"1,250점",8120,종교/역학,"책소개
영적 전쟁의 최전선은 내 안에 있다
영적 전쟁은 하나님께서 주신 것을 빼앗기지 않는 싸움이다
이미 승리한 전쟁에서 매일 이기는 킹덤빌더의 삶

이 책은 다른 영적 전쟁 서적들과 다르게 영적 전쟁을 내가 마귀와 싸워 이기는 것이 아니라, 하나님의 은혜와 통치를 누림으로써 애초에 마귀에게 틈을 주지 않는 예방적 전쟁으로 정의한다. 즉, 이미 십자가에서 결정된 승리를 믿음으로 선포하며, 그리스도 안에서 회복된 참된 정체성과 통치권을 사용하여 킹덤빌더의 사명을 이루는 강력한 삶의 방식이자 믿음의 선한 싸움이 곧 ‘영적 전쟁’이라는 것이다. 진리는 단순하다. 바로 예수님이 우리 안에 계시고, 우리가 하나님의 자녀이며, 하나님의 모든 것이 이미 우리 안에 있다는 것이다. 따라서 이 책은 영적 전쟁이 여전히 두렵고 떨리는 분들에게 영적 전쟁의 본질과 핵심을 깨달아 이미 승리한 전쟁에서 매일 이기는 삶, 하나님이 이미 주신 것을 빼앗기지 않는 싸움을 담대히 행할 새로운 믿음의 큰 담력을 독자들에게 선사해줄 것이다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기","목차
프롤로그

PART 1 영적 전쟁 입문 : 이미 승리한 자의 정체성과 부르심
01 영적 전쟁의 본질과 십자가의 승리
02 성령의 오심과 하나님 자녀의 새로운 신분
03 킹덤빌더의 사명과 영적 전쟁
04 현재적 하나님나라 : 왜 아직도 싸움이 계속되는가?

PART 2 승리한 자가 패배하는 이유 : 거짓자아와 잘못된 믿음체계
05 나와 세상에 대한 새로운 이해
06 내가 믿고 있는 세상의 실체
07 인간 내면의 역동성에 대한 이해
08 세상적 사고와 하나님나라의 사고
09 관계의 왜곡
10 패배의 주요 원인들
11 포스트모던 문화와 디지털 시대의 새로운 전장

PART 3 킹덤빌더로서의 성장과 무장 : 왕족의 정체성과 권능 회복
12 왕족의 정체성 깨우기 : 하나님 자녀의 정체성 회복
13 하나님의 사랑 체험하기 : 하나님의 생명과 축복을 누리는 자녀
14 영광의 통로 열기 : 용서와 회개의 능력 체험하기
15 하나님의 임재의식과 기름부음 흘려보내기
16 킹덤빌더의 무장 : 하나님의 전신갑주 입기

PART 4 출정 전 마지막 점검 : 내 안에서 벌어지는 영적 전쟁 이해하기
17 자유의지와 승리의 열쇠
18 예수 그리스도의 승리와 사탄의 한계
19 의인의 삶과 영적 전쟁의 실제

PART 5 일상에서의 영적 승리 : 예방의학적 영적 전쟁의 실제
20 새로운 믿음을 가져라
21 매일의 삶을 새롭게 시작하라
22 마귀의 유혹에 걸려들지 말라
23 문제 해결을 새롭게 하라
24 악한 영을 내쫓아라
25 함께 싸우고 이기는 공동체 안에 거하라

에필로그
펼쳐보기"
7,종교/역학,태초에 질문이 있었다,374918596,9791170833079,3230,송민원 지음,복있는사람,20251022,14000,12600,700점,8550,종교/역학,"책소개
『히브리어의 시간』 저자 송민원 교수의 창세기 수업
“이 책은 창세기의 숲을 탐험하는 모든 이들을 위한 귀한 선물이다!”
_김기석, 김진혁, 민경구, 전원희 추천

이 책은 창세기를 ‘수직적 읽기’에서 ‘수평적 읽기’로 새롭게 바라본다. 인간과 인간 사이, 인간과 피조물 사이에서 얽히고 충돌하는 이야기를 따라가며, 그 안에서 드러나는 하나님의 마음과 뜻을 섬세하게 포착한다. 이 새로운 읽기를 통해 아담과 하와, 가인과 아벨, 노아 홍수, 바벨탑, 족장들의 서사는 과거에 일어난 사건에 머물지 않고 오늘 우리 자신을 비추는 거울이 된다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기","목차
들어가며: 성경의 세계와 두 가지 시선

1장 인간은 왜 창조되었는가 · 창세기 1-3장
2장 죄를 바라보는 두 가지 관점 · 창세기 3-5장
3장 홍수는 왜 일어났는가 창세기 · 6-9장
4장 바벨탑은 왜 무너졌는가 창세기 · 10-11장
5장 소돔과 고모라는 왜 멸망했는가 · 창세기 18-19장
6장 거룩이란 무엇인가 · 수평적 읽기의 확장

나가며: 예수님의 새 계명은 무엇이 새로운가
감사의 말
주"
8,종교/역학,"나도 내 마음을 모를 때, 불교심리학",376922889,9791172612207,3220,보만 지음,불광출판사,20251114,19000,17100,950점,10610,종교/역학,"책소개
삶이 가벼워지는 「불교심리학」, 미처 몰랐던 마음의 위대한 법칙!
고장 난 건 마음이 아니었다, 사용법을 몰랐을 뿐!

이 책은 보만 스님의 「불교심리학」 강의를 바탕으로 ‘마음 사용법’을 정리했다. 「불교심리학」에서 스님은 마음이 눈에 보이지는 않지만, 그 구조와 작동 원리를 이해하면 생각과 감정의 파도 속에서도 자유로워질 수 있다고 말한다. 그리고 그 마음을 이해하기 위해 꼭 알아야 할 핵심 키워드로 ‘기억’, ‘견해’, ‘정신’을 꼽는다.

우리가 보고 듣고 경험한 모든 것은 기억에 저장되고, 그 기억은 세상을 바라보는 견해를 만든다. 견해를 통해 세상을 해석하는 순간 또 다른 기억이 쌓이며, 마음은 ‘기억-견해’의 순환 속에서 끊임없이 작동한다. 생각과 감정은 쉴 새 없이 몰려와 마음이 늘 고장 난 것처럼 보이지만, 이 원리를 이해하면 소란의 한가운데서도 자기 자신을 잃지 않을 수 있다. 우리 안에는 생각과 감정을 지켜보며 어느 것에도 물들지 않는 ‘정신’, 보이지 않는 ‘숨은 엔진’이 작동하고 있기 때문이다.

이 책은 마음의 구조와 원리를 ‘제품 설명서’의 형식으로 풀어내어, 누구나 직관적으로 이해할 수 있게 했다. 불교의 가르침에 바탕을 두고 있으나, 무겁고 추상적인 교리서가 아니다. 늘 웃음과 유쾌함이 함께 하는 보만 스님의 강의 「불교심리학」처럼, 이 책은 일상의 갈등과 흔들림을 가볍고 명쾌하게 다루는 ‘마음의 매뉴얼’이다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기",
9,종교/역학,한국 교회 트렌드 2026,372569226,9791165046538,3230,지용근 외 지음,규장(규장문화사),20250926,22000,19800,"1,100점",18000,종교/역학,"책소개
“다 잡을 수는 없다, 선택과 집중이다!!”

수평사회에서는 더 이상 수직적 권위로 통제할 수 없다
교회도 변하지 않으면 살아남을 수 없다

한국 교회 유일 트렌드 분석서 2026 한국 교회 예측과 전망
30개 조사보고서와 114개 도표와 그래픽 총 표본수 5,000명 이상
「한국 교회 트렌드 2026 조사」 6개의 조사보고서(raw data) 파일 증정

수직에서 수평으로 전통에서 혁신으로 사역의 뉴 패러다임 제시
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기","목차
발간사
격려사
서문 기아대책
서문 목회데이터연구소

01 심플처치
02 AI, 목회 코파일럿
03 강소교회
04 청빙, 비욘드 콘테스트
05 호모 스피리추얼리스
06 무속에 빠진 그리스도인
07 서로 돌봄 공동체
08 유리천장, 여성 교역자
09 헌금; 패러다임 쉬프트
10 이주민 선교

미주
부록 (저자 소개 및 출처)
한국 교회 트렌드 2026 후원교회 및 감수위원
펼쳐보기"
10,종교/역학,"대림절, 소망하며 기다리다",376100235,9788932823836,4230,"티시 해리슨 워런 지음, 정효진 옮김",IVP,20251107,11000,9900,550점,7920,종교/역학,"책소개
대림절의 본질을 사유하게 하는 깊이 있는 안내서. 『오늘이라는 예배』, 『밤에 드리는 기도』 등 유려한 문장 안에 신학적 사유와 자전적 통찰을 담아내며 독자를 더 깊은 신앙의 세계로 초대하는 티시 해리슨 워런이 교회력을 여는 대림절 묵상으로 우리를 안내한다. 교회의 시간이 시작되는 대림절에 우리는 정직하게 어둠을 바라본다. 과거와 현재와 미래가 하나로 맞닿는 ‘카이로스’의 시간 속에서, 우리는 이전과는 다른 존재가 되어 일상의 시간인 ‘크로노스’ 안으로 들어간다. 저자는 대림절의 본질과 의미를 두루 살피고, 왕이신 예수님을 지금 여기서 기다린다는 것이 어떤 의미인지를 생생하게 경험하게 해 준다.
 책의 일부 내용을 미리 읽어보실 수 있습니다. 미리보기","목차
시리즈 서문

1. 바라다 ― 그리스도의 세 도래
2. 갈망하다 ― 대림절의 네 주제
3. 소리치다 ― 대림절의 두 예언자
4. 불러일으키다 ― 대림절의 네 기도
5. 가까이하다 ― 대림절의 여덟 훈련

맺음말
감사의 글
주"
